/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_fc_2.3_bud_180_22-07-13-02-38/info_settings.txt
Device: cpu
Navigation model path: old/experiments/navigation/runs/CarRacing-v3__ppo__1__1781901069/final.pt
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=11280 | return=36.39 | steps=68 | track=c91f9686255248958df2906da011dfa9
global_step=11296 | return=-71.87 | steps=164 | track=038807588edff0c9dde749e1d87716c7
global_step=11536 | return=-171.30 | steps=130 | track=53fd31d0b1e7a16d05d20576d01fce4d
global_step=11648 | return=-135.40 | steps=131 | track=27a9aea9c37972fea37e38f1ffcd26ac
global_step=11712 | return=-146.19 | steps=382 | track=b02d4ef93b71b4b4f7ad5a82cfd1115e
global_step=11824 | return=-28.26 | steps=61 | track=e44df10a801229951b7a674d5929a283
global_step=11904 | return=-128.88 | steps=195 | track=1c1ae03afe2bc73c7e2c5ca5f64eede9
global_step=11968 | return=-116.54 | steps=163 | track=abdb57140ec5500c191f0ebea40f5ced
global_step=12160 | return=-158.03 | steps=131 | track=5fb1b4135975e9642bd179785ba49632
global_step=12512 | return=-145.66 | steps=131 | track=5661911e03561ef0a706817bd064ae5d
global_step=12544 | return=-154.40 | steps=130 | track=0f343c9b89952dd296d9457fb308e888
global_step=12576 | return=-147.69 | steps=131 | track=2c732c432c34a16b6c253d5e6de605f3
global_step=12640 | return=-154.28 | steps=131 | track=d8a3b3372f53999d8bebfb9c960fbd7e
global_step=12656 | return=-109.82 | steps=85 | track=8b466c6e93814004b8e47160740cf0ec
global_step=12720 | return=-159.76 | steps=131 | track=abf139003c9a08a1a379b7196ee72bb8
global_step=12816 | return=-144.07 | steps=131 | track=f2892c2ae6f0b26ebaf172bdd39b8b46
global_step=13168 | return=-150.99 | steps=131 | track=0f4e8fd62f8b112aa601851748c13ef4
global_step=13280 | return=23.08 | steps=69 | track=df888d95e760c0295569218d8f60085f
global_step=13408 | return=-142.00 | steps=131 | track=e0bff7335758cd60b8de8cc6b6086ba0
global_step=13632 | return=-130.99 | steps=130 | track=3213dac7b86a794e2c419767f735bb30
global_step=13760 | return=-168.85 | steps=131 | track=cb8a154b86f7a9e433c7b44354421015
global_step=13808 | return=-147.09 | steps=130 | track=49bacd7745666579d9e6be0c6855e238
global_step=14000 | return=-151.69 | steps=130 | track=2ab237053291524dc5706ef7cc3fc0b1
global_step=14080 | return=-141.90 | steps=131 | track=1ab9c0dede06c9dd177051854386de63
global_step=14464 | return=23.15 | steps=65 | track=1d83dc17ab8c58eefc16865767bda438
global_step=14624 | return=-159.67 | steps=131 | track=554a2779a9a5dd07dd5a57b37aaef071
global_step=14688 | return=-147.51 | steps=131 | track=4c1bd7bec4e7e4c954c42792c881e5a9
global_step=14768 | return=-139.61 | steps=131 | track=536feb37900750bba6279fcc86501cef
global_step=14832 | return=-128.29 | steps=136 | track=b98ead4d0daef6f3340e2f6f05d90970
global_step=14832 | return=-142.46 | steps=131 | track=7fd0aa52b4cc380af5734938f884873f
global_step=14944 | return=-66.70 | steps=149 | track=bea06ee307478bf4bfb1badf91a228ee
global_step=15152 | return=-39.47 | steps=116 | track=94e7aed276827dee1a774738cabb6e9d
global_step=15184 | return=-8.38 | steps=68 | track=292b229b0cc3392619ef3c88f308203c
global_step=15200 | return=-168.89 | steps=210 | track=bb992adfd4e3461ceed441a2dcf71fb7
global_step=15504 | return=-82.33 | steps=45 | track=ee18b920c9e0d6a12d29feb4a8bbb4a2
global_step=15744 | return=-49.20 | steps=108 | track=e662e1a67be22f2df526a44ab06d5ad6
global_step=15920 | return=-134.76 | steps=131 | track=0058c6c14a6122424ea13af1ea7b2916
global_step=16240 | return=8.51 | steps=67 | track=7254cae0123123a12e726866a3c603d3
global_step=16384, SPS=97
global_step=16432 | return=-175.75 | steps=203 | track=73a0416486a76f9133844d2e0bed1597
global_step=16544 | return=-150.90 | steps=173 | track=2fdd55c6eff467b9dbc31efbed17eebc
global_step=16576 | return=-167.65 | steps=131 | track=a5fa8436d5af1eb9fcc11800461d67fc
global_step=16624 | return=-29.66 | steps=43 | track=82e5c466c12e5543e97b20d81fc51690
global_step=16720 | return=-150.22 | steps=130 | track=90e5aef7ddb4503294a65104042984a7
global_step=16784 | return=-151.86 | steps=130 | track=8960b9da1f98f80a0dd55320662aff8d
global_step=17056 | return=-149.01 | steps=131 | track=53fb2909fee98c20c70ebbeb204857ee
global_step=17120 | return=-99.74 | steps=217 | track=8a1acca478f0521752be148cee421cc9
global_step=17184 | return=-123.01 | steps=146 | track=a5192e10e4c98be9c84ce0a828050620
global_step=17312 | return=-153.41 | steps=131 | track=2cac0e8558e067e4125efc095743f17d
global_step=17328 | return=-149.77 | steps=155 | track=803efc6dbd0344979f9071ffdbba92a7
global_step=17360 | return=4.28 | steps=69 | track=1144c839859d3b8d1b1427bc619168fa
global_step=17376 | return=-81.07 | steps=51 | track=98dd3700446ce47c4ec952248a48f569
global_step=17616 | return=-144.47 | steps=131 | track=45c17233c06d7e7b09426c7cb14d8bf8
global_step=17760 | return=-158.53 | steps=308 | track=ae7ba6f095e63e1a971cae07fae6f83d
global_step=17808 | return=-66.00 | steps=46 | track=2648b7f9ba8dceac2c1240bcf644af2e
global_step=17840 | return=-148.87 | steps=130 | track=653266c7b93243bffca9509293b8ba7a
global_step=18256 | return=-16.56 | steps=70 | track=d6e2a285d875e3c88fafd7f22427618d
global_step=18528 | return=-175.91 | steps=208 | track=4bcbb9d062abec980fd48bca38f112e1
global_step=18544 | return=-139.11 | steps=131 | track=575e32e15be8d0e094f35e147a91b1b4
global_step=18688 | return=-171.64 | steps=131 | track=8951c6326bc82ef0e57e6749121a55ae
global_step=18736 | return=-133.93 | steps=131 | track=5883d53e966c2f21a2c685c9934918be
global_step=18832 | return=-163.27 | steps=131 | track=49c3e4cc90b7b57b28a1c9de3ece5963
global_step=18896 | return=-159.38 | steps=131 | track=a7e0a24f245410de6051a4800ee7183f
global_step=19200 | return=-105.01 | steps=113 | track=0f28544236acbcf82c483fa0f1564555
global_step=19424 | return=-128.89 | steps=131 | track=ca5b444cff4c655fcd7905cf0259b459
global_step=19440 | return=-142.95 | steps=131 | track=20b82de256dcae3744c04f7e8027353b
global_step=19472 | return=-144.30 | steps=131 | track=48a8acc530a29007d46ad09a5fada2bc
global_step=19872 | return=-131.20 | steps=131 | track=d0c18c181eba78f893e451231a2382e3
global_step=19904 | return=-60.46 | steps=85 | track=81904a83b1428925ba38cf55585044e5
global_step=19952 | return=-2.67 | steps=65 | track=d04a6c71ff10e0abb57f7550c97d954c
global_step=19968 | return=-135.26 | steps=173 | track=e3fb24bdbac0ce8d4a2f862ff5db5b4c
global_step=20064 | return=-33.23 | steps=152 | track=39f6c99f15e75ec96c71b28c684f83c0
global_step=20176 | return=-73.85 | steps=147 | track=53a8126f0d1117e1a2b72afc9ad9444d
