/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_fc_5.0_bud_180_22-07-13-02-43/info_settings.txt
Device: cpu
Navigation model path: old/experiments/navigation/runs/CarRacing-v3__ppo__1__1781901069/final.pt
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=9408 | return=-204.29 | steps=130 | track=530d325ceecfb380bd144878aef744ab
global_step=9648 | return=-103.07 | steps=146 | track=8e5d74ad302b7525eda40b15bf46b7bf
global_step=9744 | return=136.64 | steps=83 | track=4aafe5f0c1b9639a0fd8d443cb204f83
global_step=9920 | return=-149.97 | steps=145 | track=9e9779b29080b164d3f8cbc144744773
global_step=9968 | return=7.91 | steps=71 | track=17d351259a25bdad8b3443cbfd70cf28
global_step=10352 | return=-171.20 | steps=131 | track=0d17fc36c1ab616c638a3770fe6616c2
global_step=10464 | return=-138.98 | steps=131 | track=615827d85578e3017feff2b6638218a6
global_step=10752 | return=-161.20 | steps=131 | track=9758ec92391f1ad0a0f1ae13f2a0d0ff
global_step=10784 | return=-92.10 | steps=146 | track=30f49dc3bd901ce919ce85ab10fa92fb
global_step=10816 | return=-171.78 | steps=131 | track=fe795873c404b570c0f2bde77d037eec
global_step=10912 | return=-123.71 | steps=146 | track=9cc1af34a075adda3347821d837531eb
global_step=11072 | return=-106.47 | steps=164 | track=5c75cac94ec05c00350ba722cb01903f
global_step=11184 | return=-155.81 | steps=131 | track=2873df15fcee91bb634aad7fc7c4feec
global_step=11264 | return=-71.42 | steps=49 | track=ab6a97d8c5441130754de3978509d469
global_step=11472 | return=-160.81 | steps=131 | track=5b0d587c8561758bc62d8f8454a9d735
global_step=11520 | return=-157.50 | steps=131 | track=fec8541d22bb6607fa895c460e647a67
global_step=11648 | return=-160.00 | steps=141 | track=1e51140cb83d30740bbb32b2d38fd060
global_step=11744 | return=-197.98 | steps=130 | track=956df39541bcd55ddaf1babb3adb249c
global_step=11856 | return=-170.43 | steps=131 | track=1af902099b80a46171cbaa2269c5d804
global_step=12032 | return=-179.39 | steps=131 | track=c6bf51caa3d24153ce0f30421480ab9a
global_step=12080 | return=-202.25 | steps=131 | track=78dab9575f52c7f3029b36a355156023
global_step=12432 | return=-279.72 | steps=188 | track=e9ce0f7dc1bf1e5606d813b038e20a4f
global_step=12464 | return=-199.19 | steps=131 | track=12c0fe26fca6df1b711f083fe98d17c2
global_step=12512 | return=-12.35 | steps=64 | track=8f5625e4fbd543cc32f01d2f82400cb6
global_step=12800 | return=-92.24 | steps=100 | track=b8e902920d27cd79a0941d8a52de4a4f
global_step=12864 | return=-160.01 | steps=131 | track=446b340d18091edd2003609778a8c397
global_step=13056 | return=-51.55 | steps=60 | track=d08c5bb0452b5cc5f91f94c96cfed966
global_step=13168 | return=-125.70 | steps=140 | track=66576539f539ff24ee96fb84de8dbec1
global_step=13184 | return=-164.81 | steps=147 | track=7f420b864107dd019df613b3532d2e36
global_step=13216 | return=-160.49 | steps=151 | track=ccd882e0b295dcaf6930b2bdcd1556cb
global_step=13232 | return=-110.80 | steps=49 | track=a80e1a9e4142ace11413d9bbc754ee96
global_step=13504 | return=-113.81 | steps=151 | track=f3e5a311bb085f340b70fd9c5ea4efe2
global_step=13584 | return=-69.35 | steps=107 | track=6806d961676b6227c4f048b6791435e3
global_step=13856 | return=-145.20 | steps=131 | track=8637e2fdda4a192ab0e150d54b566c7b
global_step=13936 | return=-178.62 | steps=150 | track=4ac43313d731e04b4c159bd308b8ae52
global_step=14016 | return=-52.36 | steps=171 | track=f04fff0c14b7df416cdcf02988a2c505
global_step=14128 | return=-169.51 | steps=130 | track=73ebb16f5f823b944b031976a8992f2a
global_step=14192 | return=-20.08 | steps=62 | track=6e0ee2588cec46d2dbd096b6ab4a0be0
global_step=14288 | return=-95.18 | steps=69 | track=44a14c098d2dcbe9c88a73f2035b7684
global_step=14624 | return=-169.80 | steps=131 | track=f466b6106f487e6babb9cdba34766c66
global_step=14640 | return=4.50 | steps=70 | track=9cc2e9ca79afd371f13863bdcf1bfb2a
global_step=14864 | return=-141.83 | steps=149 | track=33e9e2d9323197c67975efe712d5460f
global_step=14912 | return=-157.76 | steps=131 | track=b86d91e0c9e7777d1e481bf5b246b166
global_step=15168 | return=-161.73 | steps=131 | track=408bc0e48eb64130874f4c8ee8e32dcb
global_step=15312 | return=-80.75 | steps=152 | track=dbcf6aafb6de67d0efc90e4968e32445
global_step=15312 | return=-193.92 | steps=130 | track=d680a81d1a9bacb5efef66234390bc36
global_step=15328 | return=-169.29 | steps=130 | track=6dbfb2f851e9418cc073ab372089cd41
global_step=15664 | return=-274.46 | steps=250 | track=6ee9ceb51535467371ca84653d672f35
global_step=15696 | return=-161.36 | steps=131 | track=c83ff8fee584068ab6012e052c4bf693
global_step=15760 | return=-62.66 | steps=113 | track=0316f1c30e6f30b8a05a484149ad795d
global_step=15968 | return=-216.36 | steps=131 | track=e2726f58eb6e5492a62f2550064db43e
global_step=16112 | return=-240.37 | steps=130 | track=1512d722dfa5e5e632834ad5899ae951
global_step=16240 | return=-164.17 | steps=131 | track=c0a91b020a5c25e8ebba4d4800385b5a
global_step=16384, SPS=86
global_step=16400 | return=-204.24 | steps=131 | track=1b2e3c232858a3ae308354f6650efc08
global_step=16544 | return=-100.12 | steps=146 | track=25388ad984e99ee0a4d7e83a46296b62
global_step=16656 | return=-65.67 | steps=42 | track=725d988e0329d1c7cd69d085efbce218
global_step=16672 | return=-27.32 | steps=60 | track=c517bd884ea1f49ccbf82566e7eeadaf
global_step=16736 | return=-177.69 | steps=131 | track=5a5f7ba881f4c604259326b2c0b98244
global_step=17024 | return=-174.24 | steps=131 | track=5d3a7ec86d769cd817aad6041202d613
global_step=17200 | return=-84.37 | steps=145 | track=bdd2a4407b1a44f52c188e565bc2028e
global_step=17424 | return=-167.03 | steps=131 | track=cdeb7719a8d22ea9989f22b9d333f32d
global_step=17456 | return=-25.73 | steps=83 | track=c6974e55152e43ff00efc4f588c24ac6
global_step=17568 | return=-151.31 | steps=182 | track=619ec1d005c777b6d4781eb02b504c50
global_step=17648 | return=-23.03 | steps=60 | track=83f7cb2ef8dd4fd2fa8397f24e257667
global_step=17712 | return=-76.95 | steps=148 | track=fff655645c3fdb49e6c0eef69dbe7d17
global_step=17760 | return=-38.53 | steps=63 | track=4c07a614b2f8072eaf8d284eb3126069
global_step=17776 | return=-172.91 | steps=131 | track=c29fca7df2ab8b1a449a4ca2f9e69e4e
global_step=17792 | return=14.71 | steps=70 | track=ae8ac39f3c02a7a8a5358fcd7c93e5b3
global_step=17824 | return=-104.94 | steps=49 | track=11d38acf5ae15b31e1af6c796a746dd2
global_step=17872 | return=-182.91 | steps=131 | track=b140df8d3e7376198e8010ff5b6610de
global_step=17952 | return=-101.21 | steps=46 | track=71e89e28cc8a1909af2bf24ae9c67b6a
global_step=18112 | return=-89.79 | steps=116 | track=156d05502101641b1fa926e197783351
global_step=18464 | return=-54.42 | steps=64 | track=f7dd129ac2086112f37ef9ad69b66034
global_step=18464 | return=-112.62 | steps=205 | track=b0482291f98fae071dfa8c17e9112848
global_step=18512 | return=-166.13 | steps=131 | track=45f03fdbbda20098872a26e01a23757e
global_step=18592 | return=-42.60 | steps=50 | track=2e1e2fc9df0c2c1982eee08d742ab1ed
global_step=18640 | return=-219.89 | steps=130 | track=41c4b23557daed854085624597dd576b
