/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_fc_2.1_bud_180_22-07-13-02-36/info_settings.txt
Device: cpu
Navigation model path: old/experiments/navigation/runs/CarRacing-v3__ppo__1__1781901069/final.pt
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=17808 | return=-153.17 | steps=130 | track=9377479f4ce3b2bfc9acafb193cb5f39
global_step=17888 | return=-144.91 | steps=131 | track=a5700392e7ffd4ce598bc13f0ecfc8fa
global_step=17952 | return=-145.03 | steps=131 | track=7e7a0e9df3c2fb8593cfc1c4c50d89e5
global_step=18112 | return=-199.72 | steps=187 | track=f509d1972672ce76859610bbb970db26
global_step=18256 | return=-136.38 | steps=131 | track=8ed01e8187cb7e273e3f8455a3a34511
global_step=18688 | return=-134.07 | steps=131 | track=c2ad4cdedd70e138877b3457a63513a2
global_step=18784 | return=-163.76 | steps=130 | track=47c12ed2838ac94b96b7e87afe732665
global_step=18832 | return=-136.69 | steps=131 | track=aca9c2e832755d7574f2ca6bfcc28185
global_step=18928 | return=-140.58 | steps=131 | track=462ac503c92076cbf51667992532fb00
global_step=18992 | return=-147.23 | steps=130 | track=c480d170eadb7c825752e1e56488b586
global_step=19008 | return=-145.48 | steps=131 | track=ac6a1a94476b53a701bf4c3243ee5099
global_step=19248 | return=-71.13 | steps=147 | track=146f317898babdf20e06c53ec9980c9c
global_step=19472 | return=-149.54 | steps=130 | track=30d0913582dd2d3eca00cadb58e337eb
global_step=19840 | return=-150.49 | steps=131 | track=7d0556f7e313352ca08cd337ab2d02b8
global_step=19888 | return=-8.79 | steps=68 | track=17746cb08d5e64e84ab089eb64ec50cd
global_step=20000 | return=-141.15 | steps=131 | track=f9bfd46e400ee88357f420aaf26d88d6
global_step=20224 | return=-47.69 | steps=175 | track=9ad331921eeed05e38d4e8e5948f64b4
global_step=20352 | return=-147.42 | steps=130 | track=4f3cec46aaca80d6131d7c477d787387
global_step=20368 | return=-72.71 | steps=150 | track=b181d80feecfe76c4f927b600e0aff8e
global_step=20736 | return=-48.18 | steps=55 | track=a3b1ab85a416633b153a9781101aba77
global_step=20800 | return=-140.83 | steps=131 | track=424ae4109e26f7b72b44b95e2d22ad71
global_step=20864 | return=56.44 | steps=224 | track=c10f35261afcff1c461c3e48135041cd
global_step=20944 | return=-143.38 | steps=131 | track=6ead7bf5c365960c44d07c001cc14de0
global_step=21040 | return=-146.40 | steps=131 | track=c56d4ab864673c7b4bf73ce5a9a1ee0f
