/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_fc_2.2_bud_180_22-07-19-18-37/info_settings.txt
Device: cpu
Navigation model path: old/experiments/navigation/runs/CarRacing-v3__ppo__1__1781901069/final.pt
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=14816 | return=-149.54 | steps=131 | track=5fa6b79f8bc258d160880a27a7855b8d
global_step=14848 | return=-143.42 | steps=130 | track=398487eaa37f35c8df5a68300345d1c3
global_step=14864 | return=-162.60 | steps=131 | track=0f95ae367f74c1f1362e18747e195708
global_step=14864 | return=-241.84 | steps=304 | track=590934aebdacc6aec0b586476aae5ae0
global_step=15008 | return=-198.68 | steps=236 | track=40c8f57d2af060d2a2df91e27e96bb29
global_step=15104 | return=-7.45 | steps=64 | track=15b590e28a25618a48c30a041aab7b0c
global_step=15232 | return=-76.25 | steps=148 | track=b2761323ef6a06e3296faf1ffa0a1f41
global_step=15328 | return=-5.14 | steps=67 | track=8e093a5116e3191171038c2b5c2cb2e1
global_step=15344 | return=-166.59 | steps=131 | track=684a9e4dc9adf778041b8b556e516918
global_step=15456 | return=-139.00 | steps=130 | track=2434bf87c7a43595b407f7cffaa15777
global_step=15632 | return=-72.27 | steps=48 | track=4d89846f313fbb91a5ce91859ca5aacb
global_step=15664 | return=-46.32 | steps=52 | track=891ff82f185be839552cfc9fc3295ca6
global_step=15936 | return=-2.50 | steps=66 | track=364f7e5aa00b3559056a055e8b382d2b
global_step=16144 | return=-163.07 | steps=131 | track=64ff92e1feb36b927adfb91b720a16c4
global_step=16384, SPS=81
global_step=16512 | return=-131.80 | steps=131 | track=9dd3fee69b54fda70d501c236541ab42
global_step=16624 | return=-133.87 | steps=131 | track=36af00218a332681dd5acaae0098acac
global_step=16736 | return=-161.18 | steps=131 | track=d690e1ab109049bc96826e13a4d4c467
global_step=16816 | return=-144.51 | steps=131 | track=a5f2ce8b69f264032e70294bc993d8c4
global_step=16880 | return=-143.20 | steps=131 | track=18b48fbd97644429b8e57578fdced77e
global_step=16976 | return=-139.59 | steps=131 | track=2448d7f0733f2f0b4434a54a5e486adb
global_step=17088 | return=-104.66 | steps=123 | track=b77887ef58c7f601cf8cefa45173513f
global_step=17120 | return=-158.43 | steps=131 | track=3c64ffd26bf5d6f5a3fd1c17c92afb21
global_step=17296 | return=-30.45 | steps=71 | track=3c51accac895df8f698caf836bcf8df8
global_step=17328 | return=-149.96 | steps=130 | track=437569d915096714a3ee7d4dc172bf25
global_step=17456 | return=-160.25 | steps=131 | track=cbe0776893a7041a23f47d6bd0cb7e0d
global_step=17616 | return=61.25 | steps=54 | track=6f47a5039269ba85107a004cd81f865c
global_step=17776 | return=-51.08 | steps=152 | track=c95594707e47a317dbaf4c7467462f26
global_step=17776 | return=-47.71 | steps=78 | track=c58f050b176a75c19ea45bd4283b761d
global_step=17776 | return=-155.79 | steps=131 | track=69bb9b8fa03daf1dc3afdaceed0efd40
global_step=17872 | return=-106.07 | steps=139 | track=0b36ee8836c24ecbae328dfa36be4a6f
global_step=17936 | return=-59.38 | steps=50 | track=b2e912608d53d38892c001e76b12eea6
global_step=18048 | return=-138.80 | steps=131 | track=844e59fb7a680ae868d22ea045a474f7
global_step=18128 | return=-1.56 | steps=64 | track=d4db13f4f8b5ec2663387bb3240769f2
global_step=18160 | return=-67.06 | steps=51 | track=fc2fc47b1c96e2e364d958e4e963a130
global_step=18736 | return=-145.55 | steps=131 | track=a8dec22dd9737d84d97d5f9a7b26dcf8
global_step=18928 | return=-156.02 | steps=131 | track=95e6cd113dc690c095ac5f6356e09c12
global_step=18992 | return=-148.13 | steps=131 | track=4dbe7f3ae0c1b0e10e14bbe29e580dc6
global_step=19088 | return=-152.76 | steps=131 | track=592162c8e4edac47e4946bc9ed92bf75
global_step=19136 | return=5.26 | steps=67 | track=d7d563e1eff79acd7ce97a7dbcde54b1
global_step=19248 | return=-15.89 | steps=69 | track=11737d00f41f692d144aab29c63fe13b
global_step=19392 | return=-146.90 | steps=130 | track=e58d2fdf3a337ef4efc7116d568fd177
global_step=19584 | return=-134.75 | steps=257 | track=e90f1173757d9812271bb6a20b0fb114
global_step=19728 | return=-92.06 | steps=61 | track=ca5a7833982b6de8e1f8063517d3d935
global_step=19728 | return=-150.81 | steps=131 | track=d0c98ae3495f2d68631772d50c5f8d7c
global_step=19872 | return=-148.93 | steps=130 | track=dc2ff5b1b6e1dec2d25d2f3f4898d50e
global_step=19888 | return=-144.38 | steps=131 | track=d779055efefcd40e94954f8153cc389a
global_step=19984 | return=-153.18 | steps=131 | track=baa92baa8cfc9ef17d76f6596bc5e453
global_step=20048 | return=-142.32 | steps=131 | track=cd8141f35005ab5157e011d1c696db20
global_step=20288 | return=-118.21 | steps=132 | track=69dbc6b18f2b8daa9121e908e65f5961
global_step=20528 | return=-160.73 | steps=171 | track=23d94bddfb13d116179939b9c14b1140
global_step=20736 | return=-81.27 | steps=92 | track=c1925f03d2fa2a2427128f76772719d8
global_step=21040 | return=-137.39 | steps=131 | track=098251ab527731d08ae53e08d15fae82
global_step=21040 | return=-118.15 | steps=223 | track=1856042185629765844fd7b88b3eee70
global_step=21056 | return=-17.87 | steps=66 | track=32bf2f20f6f3d2436d72a7a5976e875a
global_step=21104 | return=-150.88 | steps=131 | track=5ca211fddd79f07010d20d62f75d86d6
global_step=21248 | return=-155.59 | steps=131 | track=082e5d4851c57b85bcb5b38ca47445fa
global_step=21264 | return=-30.79 | steps=45 | track=841b54002dd9b3af6caccc15308a8be8
global_step=21408 | return=-6.63 | steps=144 | track=21402c91b73ce2023563487f12082aa5
global_step=21504 | return=-150.69 | steps=131 | track=5f8b971a8a43119b11dfe8f69796a7c3
global_step=21696 | return=-149.81 | steps=131 | track=fad9f1524e0165c6db376d2839aec4f2
global_step=21840 | return=-163.01 | steps=131 | track=2815f528186b10bd3330a591b314a905
global_step=21840 | return=-157.55 | steps=131 | track=a4c9e89eed564e10ed0c11d5b0f82bff
global_step=22000 | return=-142.65 | steps=131 | track=2e08f32f098585d3d9b3afd7a6b8ac55
global_step=22080 | return=-31.62 | steps=64 | track=490e33da02c63da059ef53769211be89
global_step=22096 | return=-34.17 | steps=127 | track=3f5da53719d23dba3299a9156ada631c
global_step=22256 | return=-93.49 | steps=148 | track=751f3831bd0388b6dfd5bdc710dc0ec2
global_step=22384 | return=-42.28 | steps=54 | track=9d3281c88f0b492403eda7fb4b607bca
global_step=22400 | return=-136.60 | steps=131 | track=c368d0b386e3f80cec3dc8080a6a4e06
global_step=22672 | return=-117.61 | steps=97 | track=2b60054d32ffa88ba97d98d5d0b747c3
global_step=23152 | return=-176.95 | steps=131 | track=b64e02570371efca4b517426f82e599e
global_step=23168 | return=-144.50 | steps=131 | track=a368c1dd8a77a6e085a7480e3f3238a3
global_step=23200 | return=-36.72 | steps=153 | track=a466dc5444accb912f5b33e9804049e9
global_step=23360 | return=-141.79 | steps=130 | track=26efb28b9cbf1bf562c6c5c08bcd9303
global_step=23520 | return=-161.61 | steps=131 | track=6c352c977bf6e447b0c6d33d46a54f10
global_step=23792 | return=-67.00 | steps=121 | track=8ea89d02de533e29f7a64af632155394
global_step=23792 | return=-136.82 | steps=130 | track=a66358af4c395049350f9e761999d452
global_step=23952 | return=-153.59 | steps=131 | track=3afdd12fb3a082aea209fa8bcbabe96c
global_step=24112 | return=-155.52 | steps=131 | track=bf095fbfa9cfe26b8779e708a0ec6dab
global_step=24192 | return=-142.08 | steps=131 | track=a9fc21015b1b50c281788abe54563d4a
