/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_fc_1.8_bud_180_22-07-19-18-35/info_settings.txt
Device: cpu
Navigation model path: old/experiments/navigation/runs/CarRacing-v3__ppo__1__1781901069/final.pt
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=12144 | return=-69.04 | steps=63 | track=467a5f4bb6e148f63be1b0a79f2aca77
global_step=12192 | return=-85.93 | steps=64 | track=0f3d56f5864430262858b4827de6c36f
global_step=12240 | return=-133.00 | steps=131 | track=68b81ac8ddc9d5348e98436f155aea93
global_step=12592 | return=-35.23 | steps=120 | track=582db90d064fc905465af37fab42a92a
global_step=12656 | return=3.27 | steps=66 | track=8d05f44215c843fcc7a194cf0504d5f4
global_step=12800 | return=-147.64 | steps=131 | track=781ca45b8aac7ffc59cc63d1bcfb1cdc
global_step=12800 | return=-144.28 | steps=131 | track=d3550835b58f3d2f0bc4ac5279a7fb18
global_step=12992 | return=-136.41 | steps=131 | track=2e8edd105ece84cd3fbfa11f49095473
global_step=13200 | return=1.61 | steps=66 | track=07a4286bf198a84fb1473ebe05c24178
global_step=13344 | return=-147.60 | steps=131 | track=225f544111409e1981ab3350baccbbd1
global_step=13568 | return=-149.40 | steps=131 | track=4f0558dbc51960d8a17a24a6554eb14b
global_step=13712 | return=-88.35 | steps=146 | track=870a48a8bfcce4f709d29d389f3882fb
global_step=13984 | return=-71.78 | steps=155 | track=d650008e1e6a53bad0402ee7fa4a2fa4
global_step=14080 | return=-136.87 | steps=131 | track=148ddb030eb914c96ef1de2b4bc28703
global_step=14208 | return=-188.06 | steps=251 | track=2c339570aebd4a54fd566f3b762b0750
global_step=14256 | return=-149.40 | steps=131 | track=6f64aff189abf76444b3342d6be134a0
global_step=14304 | return=-164.34 | steps=131 | track=6cf4093af564f7a4c7727dd7bab6e619
global_step=14336 | return=-137.86 | steps=130 | track=a57fab12d953693d2def5c933bee0e2d
global_step=14704 | return=-159.81 | steps=131 | track=62eb7fac8d78dfd70b7771a96d3007c6
global_step=14768 | return=-147.47 | steps=131 | track=55a70cd5974ab049e22c2a1dbe20624d
global_step=14896 | return=-147.39 | steps=130 | track=d8800f37c971aa195dcaff10d3d628e1
global_step=14912 | return=-135.04 | steps=131 | track=2abe3fb95f0d86146ba560103e7de8ea
global_step=15104 | return=-70.26 | steps=47 | track=53e09767d77bd7d82232914484a848f6
global_step=15104 | return=-156.71 | steps=131 | track=23828f7cdb388c78220ebc46c4547984
global_step=15312 | return=-147.71 | steps=131 | track=8221c16d752221e6229a022390ac6b72
global_step=15328 | return=38.70 | steps=66 | track=86c46de1d9bbc98ac6de21daa468622d
global_step=15440 | return=-136.43 | steps=130 | track=c6d084a25d60bcd106ec9cb2fa14c246
global_step=15680 | return=-73.56 | steps=85 | track=a3b9e827f94166842ba10bdeb1a0c64a
global_step=15680 | return=-117.42 | steps=99 | track=2f44252e827c8fde5962fa25c36041d5
global_step=15680 | return=-151.61 | steps=131 | track=9dd0aa0e3082012eea545888b1c482b5
global_step=15824 | return=-157.75 | steps=131 | track=76344a3b9bd6cd19dd54d68826d9c6b5
global_step=16096 | return=-163.69 | steps=131 | track=e5e131fc6123294f15201e4673e6e7c6
global_step=16304 | return=-154.81 | steps=314 | track=8fb979ac80f049c1b20a225b7e90363e
global_step=16352 | return=-4.27 | steps=64 | track=cdbeecec5d99e31f76d94fefd2d22e5e
global_step=16384, SPS=100
global_step=16656 | return=-25.03 | steps=60 | track=5cfe8a73455039e64c09e595e311367c
global_step=16752 | return=-76.38 | steps=158 | track=835510d920766da9a162a828c514934c
global_step=16768 | return=12.11 | steps=67 | track=0f998342cd1b04f11ff81a173e3c3ede
global_step=16816 | return=-155.77 | steps=131 | track=a5f354047b19077d6d2ca9a474d451e9
global_step=17008 | return=-148.98 | steps=131 | track=744537c566d30a021c9a8dd0e3a35aad
global_step=17200 | return=-154.77 | steps=130 | track=5005b6e0b78e2d6258c897e6d97e95cb
global_step=17344 | return=-44.34 | steps=61 | track=41487847b6297e8d2e3ee99e8b8907fa
global_step=17344 | return=-90.86 | steps=139 | track=db95a0c786773135b6f5ed402b79d206
global_step=17360 | return=20.10 | steps=65 | track=dfc081d4dd364013dabac798cd47478c
global_step=17440 | return=-147.21 | steps=131 | track=50944795e33b25f4de05f5b26b96b6f1
global_step=17568 | return=-42.71 | steps=165 | track=9de9a45ae38786cf8ebe1aa3cb5a334a
global_step=17760 | return=-39.71 | steps=46 | track=9291b06ef7d2682a5db1c08975600c8c
global_step=17792 | return=-155.03 | steps=131 | track=b1a29c4d81d579672a4f2bf762708315
global_step=17824 | return=-142.29 | steps=148 | track=c1b5cb5b3165722fcb5420154c42994c
global_step=18096 | return=-60.50 | steps=46 | track=fec7d08538bc48cb51f960e47d5abb88
global_step=18208 | return=-130.19 | steps=131 | track=5511d696b2dbb4e03ffdf0583e9e0899
global_step=18224 | return=-88.50 | steps=149 | track=2ba529af330868a82bcb0cdd5db868ad
global_step=18720 | return=-180.65 | steps=246 | track=4c60c8ed01209451e555b2856b2ea31a
global_step=18928 | return=-63.64 | steps=43 | track=4f9ea14ff60a981cded0da4d41b41514
global_step=18928 | return=-143.34 | steps=131 | track=7dcb472657741d8ada51297bd9ae5a91
global_step=19008 | return=-90.21 | steps=146 | track=08223efd2712aad306c79aa78f8311c9
global_step=19024 | return=-80.13 | steps=104 | track=7954a158201a33e1bfbefa3c1da87ce2
global_step=19312 | return=-140.76 | steps=131 | track=1c457bbf9beb2e5f1d9ae0dba25c9376
global_step=19472 | return=-138.40 | steps=131 | track=d043a23bb3ab39243ed8c65cf10905ce
global_step=19552 | return=-140.51 | steps=131 | track=ac7c3f3837df2706ed3aad159e32f193
global_step=19680 | return=-136.35 | steps=131 | track=ff23d612c940bada3ab9210cdca8a8ad
global_step=19872 | return=-144.62 | steps=131 | track=f2304f41c4a137515fa67aaf79736000
global_step=19936 | return=-141.65 | steps=131 | track=c942fd793c195342309f80c2c89ef664
global_step=19952 | return=14.93 | steps=76 | track=8c201a02ce2f5e6621b2d80fb2369355
global_step=20080 | return=-83.10 | steps=207 | track=814d62e4a32a0573439a5c05654ba925
