/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_fc_1.6_bud_180_22-07-19-18-34/info_settings.txt
Device: cpu
Navigation model path: old/experiments/navigation/runs/CarRacing-v3__ppo__1__1781901069/final.pt
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=9680 | return=-132.95 | steps=130 | track=c42f3f8f45de6cdc6c870dd617c255bd
global_step=9792 | return=-138.67 | steps=131 | track=c7932cb3a292380c6090330bb639c7b8
global_step=9968 | return=-9.79 | steps=64 | track=ba371d61b1ae2a49c60d5d048cd1edd1
global_step=9984 | return=-112.31 | steps=146 | track=5d449a28d35d34aa7eaffac28d187d59
global_step=10144 | return=-122.13 | steps=131 | track=f5496c642506ed1d96f2d19ceff856e0
global_step=10176 | return=39.46 | steps=61 | track=29a9852ad37c2301fce89cc74d44de31
global_step=10704 | return=-18.48 | steps=44 | track=b5cc08c178f49313b5de24c7ce37d94a
global_step=10896 | return=-148.72 | steps=131 | track=b9774a1bb3a70a9451ab68f7d7bfed55
global_step=11008 | return=4.85 | steps=136 | track=77ff59a720e5f200532d50d47661d090
global_step=11232 | return=-130.76 | steps=131 | track=1e87b57dcf9162ad2877b0d71e00aee6
global_step=11232 | return=-135.05 | steps=131 | track=747763088580df6e16a5a2d4b266ebd0
global_step=11248 | return=-149.29 | steps=175 | track=2524bafedd98bf9c6adbed0c8950c8bb
global_step=11296 | return=-37.42 | steps=69 | track=d9cc810c7b5450c3a68db62efe97808b
global_step=11440 | return=-141.78 | steps=131 | track=cc610b21c27ca6bd21d0ff3d946a27b3
global_step=11456 | return=-73.97 | steps=145 | track=077d705b6a81c9cbc86774d90caa888f
global_step=11520 | return=-149.99 | steps=130 | track=4c3c25411b4f67280297694c44ee26b7
global_step=11712 | return=-52.96 | steps=153 | track=10c9deeabaa2a06c5316802121c76195
global_step=11792 | return=-121.21 | steps=131 | track=2465b673b7e1df656e5dce43adcc3d0e
global_step=11888 | return=-140.89 | steps=130 | track=3d2c581be480cb97c1c165dc7dec57e6
global_step=12064 | return=-136.09 | steps=130 | track=fc33daf8ac43ecc624434acae4e36ec4
global_step=12256 | return=-126.37 | steps=131 | track=4afe3b14a26a245fc4336fd4b0c6ca0d
global_step=12672 | return=10.89 | steps=71 | track=fe8ae412d4aee0661cab106fedbdcf0a
global_step=12720 | return=-194.17 | steps=267 | track=33516d8307b030fb66276f7d47de9c1c
global_step=13008 | return=-142.53 | steps=131 | track=1490054a53e381903e5f2c861b2e559d
global_step=13056 | return=-49.96 | steps=49 | track=4b6cf77143d0b6ecccbdecf1683b3d3b
global_step=13120 | return=-129.80 | steps=131 | track=bcce349dc477c4bc009d29a26353db74
global_step=13136 | return=-50.09 | steps=151 | track=5a866ad9ac82566abde4bb112c0e4236
global_step=13344 | return=-148.73 | steps=131 | track=967874bafa95c4e10b13cd307cff56b8
global_step=13344 | return=-129.43 | steps=131 | track=56885579e107cd6de592ea82cfd082b0
global_step=13360 | return=-136.96 | steps=131 | track=83cf47f252995c6234ecbd8963211cf7
global_step=13408 | return=-138.00 | steps=131 | track=b39991cbb2962576422582421ab0a71c
global_step=13552 | return=-135.86 | steps=131 | track=60799ab548569e21e46104f8522990c3
global_step=13568 | return=-135.21 | steps=131 | track=7520e5e434428aed00317f3912dd734a
global_step=13824 | return=-140.96 | steps=131 | track=8ba14d89bbdf6d82d95a43cd2b2c63ee
global_step=13888 | return=-170.97 | steps=130 | track=633983e5af8e3f56da887042f126711e
global_step=14000 | return=-123.71 | steps=131 | track=263197ad1fb55bbbbb3f303fc8f9d7b8
global_step=14160 | return=-79.41 | steps=50 | track=c862d123bec0962137d378589424a117
