/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_fc_1.8_bud_180_04-08-13-39-39/info_settings.txt
Device: cpu
Navigation model path: experiments/navigation/CarRacing-v3__train__1__1785768450/final.pt
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=10176 | return=-141.53 | steps=131 | track=0caf771e10abd3d8d2375043b6cd4d10
global_step=10384 | return=-116.07 | steps=129 | track=3e5114c2490847de877fc01a3c9635be
global_step=10448 | return=-144.44 | steps=131 | track=48781d18daf6a404d939d6a923f41545
global_step=10768 | return=-140.30 | steps=130 | track=3506b85f414d92e03ee83993142960f0
global_step=11088 | return=-149.20 | steps=131 | track=d72b9a0d4c5cc19dee20e67b2480aab0
global_step=11120 | return=-101.87 | steps=129 | track=b31a3be0ddcad1be868f494b719addfa
global_step=11216 | return=-131.90 | steps=131 | track=26d6b63e571429e96a5231b79f555b41
global_step=11408 | return=-149.51 | steps=131 | track=7d7befc6276722338e0f2d1e2dbe4a5b
global_step=11520 | return=-182.30 | steps=457 | track=f408dd8ee20bf681254dc01be8bd38f5
global_step=11568 | return=-149.30 | steps=131 | track=72b6eeaf5f722513b90e6830ec226923
global_step=11776 | return=-141.88 | steps=130 | track=7482486f76ee02124f2fe13c7a18c49e
global_step=11840 | return=-155.77 | steps=131 | track=d6bb14f136eff9a76dc5bde5c849100a
global_step=12016 | return=-163.47 | steps=131 | track=ea84d964b7c470b2fbcbf5909254667f
global_step=12128 | return=-153.20 | steps=131 | track=5a8f22b7665b215ca7aae1c7b6e92a87
global_step=12144 | return=-144.61 | steps=131 | track=435e468098883b8ea2f9cccb36535d8a
global_step=12192 | return=-30.57 | steps=60 | track=4cb8174d94e84aba042076a2c0882ac9
global_step=12304 | return=-141.10 | steps=132 | track=ead8c0cbc6f38633c1575384202b7d38
global_step=12576 | return=-144.69 | steps=132 | track=496e13914a8b3401a527003d59d16b24
global_step=12608 | return=-88.53 | steps=94 | track=48f820660f70e6bd375665d4eadf4b56
global_step=12880 | return=-149.51 | steps=131 | track=2c47e4ac995da33f77888b731baee180
global_step=12928 | return=16.36 | steps=71 | track=017cee5e087356bd96960d7aaf029661
global_step=12960 | return=-102.17 | steps=89 | track=17163eab759dd96de5de56ff89d2d46d
global_step=13040 | return=-95.12 | steps=101 | track=5f45805d126a0aa4db332d354df2bec4
global_step=13392 | return=-89.03 | steps=141 | track=dd10ef8eea7a5a90f6c538049c3d94ed
global_step=13632 | return=13.59 | steps=65 | track=a56b671d8d5078577238a2be1d598ddf
global_step=13664 | return=-143.48 | steps=130 | track=f4bfbc180e13414ca5eb45ccbc1b657a
global_step=13664 | return=-70.67 | steps=43 | track=c0871d45fb09a28fe69addfd30ec259f
global_step=13920 | return=-127.52 | steps=233 | track=fc5062155ad8e4724c2c454dfa653dc9
global_step=13952 | return=-149.88 | steps=131 | track=d0cd12c736ad2c06a7d20c8ed9ce8e3e
global_step=14128 | return=-138.05 | steps=131 | track=9be571bacc30e55c8a15e6f3d3003477
global_step=14240 | return=-146.32 | steps=131 | track=f0edfa238a85bd9de6ab19a5f13416bf
global_step=14256 | return=-144.60 | steps=131 | track=f4af0eee84e51ef3db5691207f688da7
global_step=14288 | return=-158.19 | steps=130 | track=a1b6c1c9b1956d2b6a39454eff78445f
