/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_fc_2.0_bud_180_04-08-13-39-41/info_settings.txt
Device: cpu
Navigation model path: experiments/navigation/CarRacing-v3__train__1__1785768450/final.pt
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=20656 | return=5.59 | steps=70 | track=7c9733fd06bd58d7e00609ccee8531ae
global_step=20912 | return=-176.49 | steps=132 | track=b5947beb2a7d05fa067a889a9f2da4fe
global_step=21120 | return=-142.55 | steps=131 | track=78249e4a776b810497684d89f15cdbe9
global_step=21248 | return=-70.74 | steps=160 | track=4ba37fce3589c170143bac5a949ff5b0
global_step=21424 | return=-140.13 | steps=131 | track=298536b0f2ee9445e338d4757fcbd139
global_step=21536 | return=-20.13 | steps=76 | track=315eefc878a08d5e7310209dcbcc1aba
global_step=21552 | return=-31.39 | steps=61 | track=76d6fb1d19d1b73882edc459e7ecd949
global_step=21632 | return=-185.35 | steps=199 | track=4e20ed157624e7c6607891c7ee2b4f95
global_step=21712 | return=-29.35 | steps=156 | track=4ccd23f5f8a61390a54aeee6c9285022
global_step=21856 | return=-151.52 | steps=130 | track=0b0de2a1f154fd4b8051538ba8f84dac
global_step=22000 | return=-171.28 | steps=131 | track=8d2a13d41071d3673fd89724d8e3b9b2
global_step=22288 | return=-146.55 | steps=131 | track=d74cf81751551c07f078c6e01271d03e
global_step=22352 | return=-166.36 | steps=131 | track=d09f6df1009f8185f6a485b01e1e55ff
global_step=22528 | return=-199.50 | steps=308 | track=024f52f6bb79e770cdd25d88ab45a61b
global_step=22576 | return=-143.93 | steps=132 | track=fb6ee245f0f088c3a913572af03ee6a5
global_step=22768 | return=-32.87 | steps=94 | track=7ee06a45a564ed3ab8c4980c05c4e68c
global_step=22912 | return=-118.39 | steps=124 | track=9dab91be170e066beaabb0c2d9ef2a01
global_step=23008 | return=-142.53 | steps=146 | track=4f2e151ed26c6e40ceab07186397cd8b
global_step=23232 | return=-152.34 | steps=131 | track=04a076da98638cb4a15ff96b3e026eb8
global_step=23648 | return=0.19 | steps=69 | track=036a9db6e5ba4e7d3659e5bff5d4775b
global_step=23664 | return=-152.21 | steps=131 | track=4959d8bfe734c7f26cc61ce4b9945b45
global_step=23712 | return=-174.51 | steps=142 | track=4d53a1a54008a1503a922238ef70667f
global_step=23728 | return=-152.20 | steps=130 | track=98eabf048c2de3bd5d43f3eed5f2a3a4
global_step=23808 | return=-113.71 | steps=90 | track=21107a14c64038854f16771ec5517a69
global_step=23824 | return=-149.20 | steps=131 | track=6d2f639c1331bbcf7f62433946ce4529
global_step=23824 | return=-205.44 | steps=314 | track=0fb09cb91b0cff56ee3c284da47514e1
global_step=23904 | return=-74.67 | steps=147 | track=1f47cf0546285f0ae7550386db2c6149
global_step=23968 | return=-136.40 | steps=131 | track=a89bcc130433391c2f8b1ab2e49dc2a1
global_step=24112 | return=-137.20 | steps=131 | track=f9c342f7759f4eb1a634b25b919c31e6
global_step=24256 | return=-0.50 | steps=63 | track=8cf8f8fc088f2755313c0b8bb4316275
global_step=24272 | return=1.07 | steps=84 | track=2452166b2a50c30b5146fed49dbda379
global_step=24384 | return=-143.94 | steps=130 | track=dbfcc36f2ce5a1223f496c01fb39c6cf
global_step=24656 | return=29.35 | steps=58 | track=da797b2a9fcc1c6f47c3141c747f1085
global_step=24688 | return=-140.76 | steps=131 | track=14cab3b915da2771d807ea000776f8d6
global_step=24800 | return=-22.26 | steps=61 | track=60e051cfc08de4fa425cd71d1a3f946b
global_step=25120 | return=-149.19 | steps=131 | track=887a7b7feea4284021235d3ea12eb6c3
global_step=25840 | return=-143.30 | steps=131 | track=3d6079edfe547edf7cf75bd02a0bc466
global_step=25936 | return=-162.76 | steps=131 | track=656b6a6bd3f1b025a2717de734bcbf6d
global_step=26000 | return=-148.75 | steps=130 | track=77f210c47f9f856d0ab6d4ad8d82cccd
global_step=26000 | return=-81.56 | steps=145 | track=0c2cfc76374361f748fddaa298c13ebb
global_step=26352 | return=-75.31 | steps=139 | track=bad687928f6f9ec3186d6594976fb2f4
global_step=26368 | return=-221.22 | steps=224 | track=cbbfaf327a99bab4b22ba2390396ced7
global_step=26368 | return=-155.25 | steps=131 | track=b942ecd2e2a8b31f43a5cad759a0168e
global_step=26384 | return=-121.90 | steps=131 | track=6e90d4a0430c1ead60da5b13780aab7d
