/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_fc_1.7_bud_180_04-08-13-39-38/info_settings.txt
Device: cpu
Navigation model path: experiments/navigation/CarRacing-v3__train__1__1785768450/final.pt
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=9728 | return=-73.25 | steps=149 | track=beb109ef99b50896ccdc0d4cb8206cf2
global_step=9792 | return=-150.09 | steps=151 | track=e2f0246f6a818698dc536ef7cfb3931d
global_step=9840 | return=-138.73 | steps=131 | track=6b0e1b33f009e3cced60ce650875011e
global_step=9952 | return=-25.48 | steps=61 | track=2b4c7012dab658d6d06b7d0f6b00c998
global_step=10128 | return=-6.82 | steps=170 | track=e1ea25e8a52db0c0b921f2a79c24bed3
global_step=10192 | return=-141.73 | steps=131 | track=20d3c8d6d01400a60716726cbab846da
global_step=10192 | return=-125.35 | steps=164 | track=b2e57ae1fcc7b5fbdeb21d829821380c
global_step=10192 | return=-14.19 | steps=64 | track=ce4c24e873b7134cabcd45bf06fd4c30
global_step=10224 | return=74.26 | steps=173 | track=e99cf4ef1e198cc210d089c3261ab4f8
global_step=10928 | return=16.44 | steps=70 | track=a5b2eb18a6c1e68fa80b680741f4d34a
global_step=10944 | return=-32.74 | steps=75 | track=0b251fb39030838f97ea2b969f9d745a
global_step=11056 | return=-124.10 | steps=130 | track=ee6a303cfbdc0459d877cef8230f2901
global_step=11120 | return=-118.54 | steps=101 | track=2e42829c5cbf20b91318decd5b241912
global_step=11344 | return=-143.13 | steps=131 | track=35799d7995368cb99e647b42c914ccb8
global_step=11728 | return=-140.02 | steps=131 | track=b1230f7fe9c4faea2703ab6f74611bbc
global_step=11728 | return=-142.58 | steps=131 | track=b0eb6320f59c89be8ce2646a1fffa89f
global_step=11760 | return=143.09 | steps=97 | track=1d3b7368d5d468596995f501719157d7
global_step=12064 | return=-143.85 | steps=131 | track=fefa9e6c9e618bf1c571913f0a0d2984
global_step=12112 | return=-14.17 | steps=65 | track=6c7b9c1246c44d631c417a4d1f531705
global_step=12176 | return=-78.57 | steps=145 | track=d1950937083558bf1e5e32030bbc781f
global_step=12240 | return=-142.67 | steps=131 | track=f0e22462f695ba07376dadce10e01148
global_step=12304 | return=-148.03 | steps=131 | track=bfb62bc6de144365dca34fc0159377fd
global_step=12320 | return=-130.80 | steps=130 | track=e4af12c86b4d389c8a89ac91ba680428
global_step=12384 | return=-151.41 | steps=246 | track=45b13008285b1a4b0bbb593ae9bc55f0
global_step=12400 | return=86.30 | steps=317 | track=911855fbb309adc7ef637f7fbb647378
global_step=12832 | return=43.14 | steps=68 | track=4309711b65521ea522e63a15710f9eac
global_step=13040 | return=-141.50 | steps=131 | track=d80bc3721898bb591b18a814d505f706
global_step=13056 | return=-163.05 | steps=131 | track=3053cbdc2cbb3f26cf27109f633e957c
global_step=13200 | return=-6.72 | steps=89 | track=7bbb8e0bcceb52dbdbf0fc34d7fd167c
global_step=13360 | return=-121.63 | steps=197 | track=03d416cb206a2902e989a3eccfe0a965
global_step=13632 | return=-109.51 | steps=156 | track=bccf6495e0f92c4b81b7732f102f3cab
global_step=13840 | return=-142.58 | steps=131 | track=121ab1514462d251d2f1f102917025a8
global_step=13840 | return=-89.32 | steps=62 | track=92b8dfc60615130bb2097842ef5632be
global_step=13888 | return=-123.78 | steps=98 | track=5d7f3af93364581fe48786069eaef9e7
global_step=13888 | return=-83.52 | steps=93 | track=26ddf5a1f9edf639217c30063437f9cd
global_step=13936 | return=-118.48 | steps=109 | track=8c5dfbefde46cc6edefd4e4dfc100e8e
global_step=14032 | return=-90.89 | steps=167 | track=c1bfd1643ad9d63763842006c3a02704
global_step=14352 | return=-141.66 | steps=131 | track=dda36decd73f443c1d3cc52ecdbdf342
global_step=14368 | return=-52.79 | steps=81 | track=f586778fab30dfc8e274659091da9f42
global_step=14432 | return=-150.00 | steps=131 | track=cec34b80058d22dfae0346facc7ba819
global_step=14544 | return=-82.45 | steps=151 | track=c035d0752ee4a01e4709202ed2b662c4
global_step=14704 | return=-83.76 | steps=143 | track=b78b7041df0bbca3f21b7f69da1827b7
global_step=14896 | return=44.01 | steps=65 | track=fcc9ff975a494b4e92604de9c79efdf5
global_step=14912 | return=34.90 | steps=177 | track=e3cd9426892f5c915b3f14b296cf6835
global_step=14960 | return=-17.29 | steps=63 | track=8226a009fd2a6fd98600ce0cc6be2d84
global_step=15136 | return=-142.79 | steps=130 | track=1a3c03b7d8951952faa3b9783047d74e
global_step=15312 | return=-137.84 | steps=131 | track=2aec2599d106e176772f83a30fa6204e
global_step=15328 | return=-112.37 | steps=89 | track=72c94c99118a0b561286affcf8787e1c
global_step=15344 | return=-25.97 | steps=61 | track=08f76829f0b49d07bb1446796fd07ecd
global_step=15472 | return=-141.60 | steps=131 | track=145f62134c46242074b3d134a7c668df
global_step=15584 | return=-8.00 | steps=64 | track=e84c0e96845fa8875072b83d7a176e85
global_step=15600 | return=-53.81 | steps=55 | track=f1dc40304df43f7e0ec67c75037c7751
global_step=15680 | return=-38.42 | steps=44 | track=5ab992cb6c6d5ed7494c2d2d229518f1
global_step=15744 | return=-151.21 | steps=131 | track=783227b8d88373f2370d6289b423e69f
global_step=15792 | return=-71.82 | steps=88 | track=0044e93cd06acbb0175ba4db68446b6d
