/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_fc_10.0_bud_180_20-07-23-05-06/info_settings.txt
Device: cpu
Navigation model path: old/experiments/navigation/runs/CarRacing-v3__ppo__1__1781901069/final.pt
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=22392 | return=-258.43 | steps=131
global_step=22496 | return=-238.43 | steps=131
global_step=22568 | return=-238.43 | steps=131
global_step=22688 | return=-287.86 | steps=317
global_step=22752 | return=-208.43 | steps=131
global_step=22936 | return=-248.43 | steps=131
global_step=23088 | return=-268.43 | steps=131
global_step=23224 | return=-164.15 | steps=66
global_step=23296 | return=-298.43 | steps=131
global_step=23448 | return=-188.43 | steps=131
global_step=23552 | return=-198.43 | steps=131
global_step=23624 | return=-218.43 | steps=131
global_step=23808 | return=-248.43 | steps=131
global_step=23992 | return=-228.43 | steps=131
global_step=24144 | return=-228.43 | steps=131
global_step=24280 | return=-238.43 | steps=131
global_step=24504 | return=-238.43 | steps=131
global_step=24576, SPS=9
global_step=24608 | return=-248.43 | steps=131
global_step=24680 | return=-198.43 | steps=131
global_step=24864 | return=-208.43 | steps=131
global_step=25048 | return=-258.43 | steps=131
global_step=25200 | return=-248.43 | steps=131
global_step=25336 | return=-168.43 | steps=131
global_step=25432 | return=-394.28 | steps=266
global_step=25560 | return=-188.43 | steps=131
global_step=25576 | return=-150.35 | steps=46
global_step=25664 | return=-218.43 | steps=131
global_step=25736 | return=-168.43 | steps=131
global_step=25920 | return=-198.43 | steps=131
global_step=26392 | return=-188.43 | steps=131
global_step=26616 | return=-218.43 | steps=131
global_step=26632 | return=-188.43 | steps=131
global_step=26720 | return=-178.43 | steps=131
global_step=26792 | return=-248.43 | steps=131
global_step=26832 | return=-229.83 | steps=174
global_step=26976 | return=-228.43 | steps=131
global_step=27168 | return=-150.35 | steps=46
global_step=27448 | return=-208.43 | steps=131
global_step=27520 | return=-261.78 | steps=308
global_step=27672 | return=-198.43 | steps=131
global_step=27688 | return=-198.43 | steps=131
global_step=27776 | return=-198.43 | steps=131
global_step=27888 | return=-178.43 | steps=131
global_step=28032 | return=-218.43 | steps=131
global_step=28120 | return=-104.73 | steps=42
global_step=28224 | return=-168.43 | steps=131
global_step=28376 | return=-204.38 | steps=115
global_step=28576 | return=-198.43 | steps=131
global_step=28672, SPS=9
global_step=28728 | return=-198.43 | steps=131
global_step=28744 | return=-238.43 | steps=131
global_step=28776 | return=-123.65 | steps=49
global_step=28944 | return=-218.43 | steps=131
global_step=29088 | return=-198.43 | steps=131
global_step=29176 | return=-248.43 | steps=131
global_step=29280 | return=-268.43 | steps=131
global_step=29632 | return=-188.43 | steps=131
global_step=29784 | return=-198.43 | steps=131
global_step=29832 | return=-178.43 | steps=131
global_step=30000 | return=-218.43 | steps=131
global_step=30144 | return=-178.43 | steps=131
global_step=30192 | return=-247.56 | steps=180
global_step=30232 | return=-268.43 | steps=131
global_step=30336 | return=-218.43 | steps=131
global_step=30688 | return=-188.43 | steps=131
global_step=30840 | return=-218.43 | steps=131
global_step=30888 | return=-238.43 | steps=131
global_step=31056 | return=-188.43 | steps=131
global_step=31200 | return=-188.43 | steps=131
global_step=31248 | return=-178.43 | steps=131
global_step=31288 | return=-188.43 | steps=131
global_step=31392 | return=-218.43 | steps=131
global_step=31744 | return=-168.43 | steps=131
global_step=31896 | return=-168.43 | steps=131
global_step=31944 | return=-228.43 | steps=131
global_step=32112 | return=-188.43 | steps=131
global_step=32256 | return=-188.43 | steps=131
global_step=32304 | return=-178.43 | steps=131
global_step=32344 | return=-178.43 | steps=131
global_step=32448 | return=-168.43 | steps=131
global_step=32768, SPS=9
global_step=32800 | return=-248.43 | steps=131
global_step=32952 | return=-168.43 | steps=131
global_step=33168 | return=-178.43 | steps=131
global_step=33312 | return=-188.43 | steps=131
global_step=33360 | return=-208.43 | steps=131
global_step=33400 | return=-178.43 | steps=131
global_step=33504 | return=-218.43 | steps=131
global_step=33856 | return=-208.43 | steps=131
global_step=34008 | return=-178.43 | steps=131
global_step=34224 | return=-188.43 | steps=131
global_step=34368 | return=-198.43 | steps=131
global_step=34416 | return=-168.43 | steps=131
global_step=34456 | return=-178.43 | steps=131
global_step=34560 | return=-178.43 | steps=131
global_step=34912 | return=-228.43 | steps=131
global_step=35064 | return=-198.43 | steps=131
global_step=35168 | return=-396.58 | steps=402
global_step=35280 | return=-208.43 | steps=131
global_step=35424 | return=-168.43 | steps=131
global_step=35472 | return=-198.43 | steps=131
global_step=35512 | return=-188.43 | steps=131
global_step=35616 | return=-208.43 | steps=131
global_step=35968 | return=-198.43 | steps=131
global_step=35976 | return=-144.83 | steps=100
global_step=36120 | return=-188.43 | steps=131
global_step=36336 | return=-188.43 | steps=131
global_step=36480 | return=-198.43 | steps=131
global_step=36528 | return=-228.43 | steps=131
global_step=36568 | return=-178.43 | steps=131
global_step=36672 | return=-198.43 | steps=131
global_step=36864, SPS=9
global_step=37024 | return=-198.43 | steps=131
global_step=37032 | return=-168.43 | steps=131
global_step=37176 | return=-228.43 | steps=131
global_step=37392 | return=-218.43 | steps=131
global_step=37536 | return=-218.43 | steps=131
global_step=37584 | return=-168.43 | steps=131
global_step=37624 | return=-188.43 | steps=131
global_step=37728 | return=-188.43 | steps=131
global_step=38080 | return=-178.43 | steps=131
