/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_fc_1.0_bud_180_21-07-13-22-40/info_settings.txt
Device: cpu
Navigation model path: old/experiments/navigation/runs/CarRacing-v3__ppo__1__1781901069/final.pt
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=9440 | return=-3.70 | steps=62 | track=a78abf7e9c08ca6bfe4f69e34e044c87
global_step=9440 | return=-17.36 | steps=92 | track=083a8a5225e70baeee17e60677b42d7b
global_step=9440 | return=38.11 | steps=195 | track=bbf64e3ae27840ffabfe9092f6bd93e6
global_step=9696 | return=-136.78 | steps=131 | track=d1043c5f218f599202e1e6856a37e108
global_step=9728 | return=-145.74 | steps=130 | track=4e3baa8c6fafb92a79bab0d8f307c6cd
global_step=9792 | return=-119.60 | steps=131 | track=18ebb178bb20fb1b26733d9f18ae5738
global_step=9840 | return=-136.05 | steps=130 | track=acf4aa075f5895e090e5df9f1ad88039
global_step=9840 | return=-23.39 | steps=61 | track=fec6903102cf7d71617303f9175db463
global_step=9952 | return=-132.81 | steps=131 | track=b4c5010d94f68d45cb70b9061c1a1b3b
global_step=10112 | return=-83.28 | steps=143 | track=eb4e625774448d263de37ba434f2e445
global_step=10512 | return=-137.59 | steps=131 | track=5a28d098f33f756124ccced17d55422e
global_step=10736 | return=-140.46 | steps=131 | track=fafa30106e52d9ab4f064c8458df3ed8
global_step=11040 | return=-145.00 | steps=131 | track=a3044b7f4e7b66e7d238b9b2ac58bcba
global_step=11072 | return=-132.90 | steps=131 | track=397ca023eb62d1bb920a73a4bbb10754
global_step=11264 | return=-86.31 | steps=71 | track=b725c050d29e494033d9e8cefc57c040
global_step=11328 | return=-86.91 | steps=294 | track=074b8c8538dacad0be1faeda704ed725
global_step=11552 | return=-130.00 | steps=131 | track=3f172e0c89204423d6e67f0168155b0d
global_step=11552 | return=-143.55 | steps=131 | track=b0159a3d99fe47c2356474e2839bed37
global_step=11632 | return=-22.33 | steps=55 | track=97a95ccbb555f7c4c4cd2e7958a2b4a9
global_step=11808 | return=-134.90 | steps=131 | track=e889e3bda538a7a7e3e9575b3d944bbb
global_step=11824 | return=-70.92 | steps=116 | track=5512ad2f3827d877fa6a56eb69571591
global_step=11872 | return=-54.93 | steps=151 | track=27101caa49af846108670a572fb087d9
global_step=11904 | return=-141.59 | steps=131 | track=de95eed2f342e2b048eaa95a3f0505fe
global_step=12032 | return=57.89 | steps=188 | track=473e6018f70c827f7cd8c1e91938e3ac
global_step=12496 | return=-80.21 | steps=172 | track=19fdac4d3b3d657d7ff0b3d5ec74a61b
global_step=12864 | return=-86.29 | steps=146 | track=1c98a373e4e0e9901e4c8953640a71f6
global_step=13152 | return=-140.16 | steps=131 | track=d3967a2071cf12272a9c17af2f0260da
global_step=13264 | return=17.27 | steps=213 | track=d524d05a7eca68588f79c674543a6e85
global_step=13376 | return=-126.67 | steps=131 | track=544b22a340f09354bcb459e869c91478
global_step=13664 | return=-131.98 | steps=131 | track=44ff659046fc1e7637a887b46ca18b5c
global_step=13936 | return=-140.52 | steps=131 | track=4871a3b42096b1b8292eb57cc9d722de
global_step=13984 | return=-140.77 | steps=131 | track=a1b74c79786d4395b4ec2fd93e287e7f
global_step=14016 | return=-140.97 | steps=131 | track=10daadf9a647207abdbfc7b559b88e40
global_step=14128 | return=-72.75 | steps=46 | track=974a8b8beedf75ab3a5a17ae1b7aa2e1
global_step=14416 | return=-77.85 | steps=148 | track=0b67788f49dc0d309004ae03c071370b
global_step=14592 | return=-146.99 | steps=130 | track=1a7b0ea7c41ddc5491ade09b139e4de7
global_step=14736 | return=18.33 | steps=66 | track=a0cef821dfff3d8f6b226dd9620bdf68
global_step=14880 | return=-64.91 | steps=191 | track=82dc36a5799343ea4af5b34e6c58c0f0
global_step=14912 | return=-116.95 | steps=316 | track=49ab5c4d93441846a0c73b87d28149e8
global_step=14912 | return=-90.69 | steps=204 | track=0e4e6456e72c95feee8e50fa35e668d5
