/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_fc_2.0_bud_180_03-08-23-08-25/info_settings.txt
Device: cpu
Navigation model path: runs/CarRacing-v3__train__1__1785768450/agent_step3276800.pt
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=12480 | return=-111.14 | steps=131 | track=e810912638eda0abc39efa45643b794f
global_step=12528 | return=-98.34 | steps=130 | track=297d5319ed6a2bc15f13d9e9938ba63a
global_step=12560 | return=58.77 | steps=263 | track=fe6c042db20e6563e752ba9c729515d1
global_step=12640 | return=-87.71 | steps=69 | track=ad94328aa8d33c79977f362d22c08c9c
global_step=12752 | return=-103.57 | steps=131 | track=5114ab953fc778130d8d06176f2ea471
global_step=12832 | return=-106.13 | steps=131 | track=9a131e9fe0ce3d3b689dd1b5edf235c0
global_step=13200 | return=-115.84 | steps=131 | track=0c764f38bc44518651ef6f4053911944
global_step=13232 | return=-52.31 | steps=221 | track=1a386384e96453b40ac6cf22ec38ab0e
global_step=13408 | return=-74.64 | steps=574 | track=32e502d3843e88bc400bc060621a5f29
global_step=13440 | return=25.40 | steps=65 | track=b05f619c213549a98b570d45242640cc
global_step=13712 | return=-38.27 | steps=100 | track=d56e7132e31778370a356030df034601
global_step=13856 | return=-104.17 | steps=131 | track=b13ea3f6992e53caba66a892f2d3a40f
global_step=13968 | return=-103.71 | steps=131 | track=5c68ef7585fb83ab7150e4b5aeaa6725
global_step=14112 | return=-95.48 | steps=98 | track=2b4126d960ae2d13558a9c3c7b28846a
global_step=14112 | return=-99.80 | steps=131 | track=f6722f42d7960550f734123f7347635c
global_step=14336 | return=-40.10 | steps=55 | track=265b49a50b86b52453cbe48e00798808
global_step=14352 | return=-97.94 | steps=131 | track=ef884aff57e07f644120e74ea602e80b
global_step=14400 | return=-97.39 | steps=131 | track=5dc6262201f94d9cf08352a3551de3fb
global_step=14416 | return=-48.01 | steps=115 | track=80aae55cc4e8b8964ffe8ca897dba998
global_step=14464 | return=0.22 | steps=65 | track=18b19dee9998d35afcc1c84ae56fdecc
global_step=14864 | return=-110.87 | steps=131 | track=2c44e9f144480becc7f82f9c87173689
global_step=14944 | return=-96.34 | steps=131 | track=aa77714b65df113ea78c791b176f46fb
global_step=14960 | return=66.57 | steps=68 | track=5bd8dda91eed77be99f6781da2d17c11
global_step=15184 | return=-3.13 | steps=66 | track=1f02923e3e1278062a0fe8fc78e59fc9
global_step=15312 | return=-85.21 | steps=131 | track=3d091987a1132b0781ee8cc81108ee0b
global_step=15344 | return=-101.47 | steps=131 | track=f2c4a969962d0177a91dc0bbb0bf68a9
global_step=15552 | return=11.51 | steps=67 | track=7e116c243a3bc458269ff2c579169568
global_step=15760 | return=7.08 | steps=204 | track=be682bf4b25489e212fcb470d6620415
global_step=15808 | return=-112.82 | steps=130 | track=ddb05fba60aa2f12a7e0e690f7db9247
global_step=15824 | return=-63.35 | steps=198 | track=92a5dc8974e7e4ca3acdab83ffd77c8a
global_step=16080 | return=-100.58 | steps=131 | track=60f1a09287c36f617b277a3988f13986
global_step=16224 | return=-134.01 | steps=131 | track=54ba3e5f7388041f70f00524bf86ce32
global_step=16384, SPS=94
global_step=16448 | return=-101.05 | steps=131 | track=d02bb8eb2d5cdcf9a5cb01f7f6e940be
global_step=16448 | return=-107.01 | steps=130 | track=0feacd12906e4a49cff162afe8d89309
global_step=16512 | return=-111.82 | steps=131 | track=8ceb2d79c3d8c52df71ad8b0c82fc2ad
global_step=16528 | return=-100.60 | steps=131 | track=fd333e200f42c58941b8b5a417fbf99b
global_step=16864 | return=15.86 | steps=65 | track=9f5d4476fc22d9007fc0a3db4d7fb242
global_step=16928 | return=-99.62 | steps=128 | track=dcc1c7e52d8f84771544696d3bdf4b29
global_step=17072 | return=-98.13 | steps=131 | track=a2e27268e88ca4f8153b5e2f6be4931a
global_step=17136 | return=-45.58 | steps=65 | track=e7179663080e9a3c1cb11868776d245f
global_step=17264 | return=-28.14 | steps=144 | track=871d978a5c9184dd132fe82978c67e64
global_step=17296 | return=-105.47 | steps=131 | track=8081c0ff3fa7657770511947b5c4bd7a
