/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_fc_1.7_bud_180_03-08-23-08-21/info_settings.txt
Device: cpu
Navigation model path: runs/CarRacing-v3__train__1__1785768450/agent_step3276800.pt
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpuNavigation Model loaded on cpu

Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=14688 | return=-57.30 | steps=50 | track=c49544ec9eb905ea8c1c8b1e555dd4da
global_step=14800 | return=-120.13 | steps=131 | track=5eac435fd2b8e45dcfe58645224a9e77
global_step=14848 | return=-108.94 | steps=131 | track=a302e5ae9067248c4c2e84bebc553f6a
global_step=14944 | return=147.34 | steps=230 | track=90009650e0a05590f4d060adc9ddcde6
global_step=15232 | return=-87.72 | steps=131 | track=c30826fdc607a399e48bcfd31203e83f
global_step=15328 | return=-10.83 | steps=61 | track=0096716acb346f8bba1dabbd51c7afee
global_step=15424 | return=-103.36 | steps=130 | track=71ec9e9ca60736a7b26c0ff6ab2773fb
global_step=15456 | return=-103.45 | steps=131 | track=751e4a770dadc01dbe45d5f2960e6a16
global_step=15520 | return=-103.59 | steps=131 | track=69c7e8d73ceb23e1cd4494a9de37db7c
global_step=15648 | return=283.20 | steps=149 | track=0e7ca1f9fc318db9bd24f8eefff5d3e0
global_step=15696 | return=-90.33 | steps=145 | track=ab351b27620057a1356b6b9472626abb
global_step=15696 | return=-50.06 | steps=55 | track=1fc4be8393b1b923e379b85505411e88
global_step=15824 | return=-97.20 | steps=131 | track=678bbb4bcf92acd8bb22ea86248fe5f8
global_step=15824 | return=-98.77 | steps=131 | track=617293da75e1c5cb29d841513ee43226
global_step=15920 | return=-62.15 | steps=102 | track=0e9431147240d214fcfcc9eacc3251bc
global_step=16176 | return=-29.44 | steps=44 | track=d7abd9adbad13cb32d20654c892979d8
global_step=16272 | return=-93.20 | steps=131 | track=d8752dcb19a6a95f1e575b9e1998a335
global_step=16288 | return=-38.89 | steps=99 | track=816f0163947f7707e5591e0811e8f5f7
global_step=16384, SPS=77
global_step=16592 | return=-6.07 | steps=173 | track=c4623b75b59dd2759be438d550023cc6
global_step=16864 | return=-88.31 | steps=89 | track=b13f5b50b57958510734cc8d3ee9707f
global_step=17072 | return=-92.02 | steps=132 | track=4ca1ba73c550a57d5bdff4089dd0f6e0
