/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_fc_1.8_bud_180_03-08-23-08-22/info_settings.txt
Device: cpu
Navigation model path: runs/CarRacing-v3__train__1__1785768450/agent_step3276800.pt
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=10720 | return=-102.46 | steps=131 | track=74b99c636def9df4a940f8c7b7dd2ddc
global_step=10736 | return=15.95 | steps=77 | track=76324bdb41dd9f2304d7809249b9e35b
global_step=10816 | return=-42.22 | steps=146 | track=456220f45e0f6be3826c09530945c0e4
global_step=11168 | return=-91.54 | steps=131 | track=73db86e0402786e1d9a0c272812fc19b
global_step=11280 | return=-105.80 | steps=131 | track=1ffefe415172ec12cda8fe9d062e6743
global_step=11488 | return=-32.49 | steps=52 | track=15022b4a6596dbb423661a1cd243474e
global_step=11520 | return=-89.30 | steps=131 | track=20992fd0f16e288d40758c123b773cd9
global_step=11648 | return=-71.91 | steps=57 | track=4ee50164f38914f8e37f55a9c8bcc43a
global_step=11664 | return=-6.88 | steps=57 | track=e6666c72c8fd02cd3fcf8e60aa6ecd1d
global_step=11712 | return=-67.56 | steps=55 | track=d18b2fa930728e7229d89fd2931a0461
global_step=11904 | return=-117.70 | steps=131 | track=c4bfa23afd3586b2442a35b47b989940
global_step=12128 | return=-100.96 | steps=131 | track=420141ae216c93ed1214d4ae9a0eea36
global_step=12272 | return=-16.90 | steps=61 | track=8f509dab37029e484bd3c035e2e027eb
global_step=12288 | return=-114.83 | steps=131 | track=03c8bb3d6c012188c2308283d1edee63
global_step=12288 | return=-87.28 | steps=130 | track=05a344d1b8301729c656b2c1c80fc4b7
global_step=12480 | return=-101.35 | steps=131 | track=3aa76512c1751c00b8991d685e6c0f98
global_step=12576 | return=13.84 | steps=67 | track=a68f9f2f673b68c4bf1ee152a8bcaa50
global_step=12576 | return=-68.05 | steps=53 | track=78eed1eb2800ae06e83319022f494f05
global_step=12624 | return=-102.75 | steps=130 | track=3b3d863f70dc956ef66213ec76a1af03
global_step=12736 | return=-113.89 | steps=131 | track=dfc7996df5bc12418515151c1dd23a46
global_step=12752 | return=26.00 | steps=68 | track=4b453dd48e7bcdbbfcda4d1d1a663055
global_step=12752 | return=-69.13 | steps=139 | track=e425b3267af8486c0813b1cf3c94120d
global_step=12768 | return=22.51 | steps=68 | track=19eef4b968fc459fd8353605ebf53ef9
global_step=12992 | return=-53.57 | steps=43 | track=78b6e769fbf229be7d715c70cd272ffd
