/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_fc_2.5_bud_180_22-07-13-02-40/info_settings.txt
Device: cpu
Navigation model path: old/experiments/navigation/runs/CarRacing-v3__ppo__1__1781901069/final.pt
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=15216 | return=25.90 | steps=77 | track=ec1ff51e5b3f0d62d1fc5297b77f6b61
global_step=15248 | return=-161.86 | steps=131 | track=93bba77b30e3f741efc49b92204dac08
global_step=15296 | return=1.24 | steps=65 | track=bc702cb72a27975d93465637012aefd0
global_step=15392 | return=158.33 | steps=131 | track=fc479c376f33ef6ab999267522fe37c0
global_step=15408 | return=-80.66 | steps=110 | track=5d6dfd0317f14686c73741b188252c08
global_step=15616 | return=-6.66 | steps=119 | track=6ff2b704db353c2f9d95a0d6979bbbae
global_step=15632 | return=-152.10 | steps=131 | track=c89615d00a610c115bac01bebdf1cd46
global_step=15648 | return=-177.51 | steps=131 | track=81a937cf2381ecacd2d43c1cd01b5f8c
global_step=16128 | return=-111.83 | steps=56 | track=fefc7baf8eb753e6e0130a1042cc0227
global_step=16336 | return=-74.19 | steps=57 | track=7d3a6230e6337cd163b19c85b7204fb1
global_step=16384, SPS=94
global_step=16400 | return=-3.32 | steps=62 | track=def0d7325b069b0b3d67bce427d9e415
global_step=16432 | return=-157.25 | steps=131 | track=933ea4993229a8b0108e47c5ae86416b
global_step=16576 | return=-153.10 | steps=129 | track=94576259779d3eaad3655f9d9f8a8f4e
global_step=16576 | return=-148.74 | steps=131 | track=d2e7c75fcba8834ae64263f0712a7f33
global_step=16592 | return=-140.07 | steps=130 | track=9b2d18ae4d10b806288781acb49483c3
global_step=16736 | return=-156.78 | steps=131 | track=3522d92b0ea5b3cf8d1c0e288b2b9c97
global_step=16832 | return=-145.43 | steps=131 | track=248d04edddd29ae04f38d9d164fbf106
global_step=17024 | return=-128.72 | steps=131 | track=48eafff95fa9a50bfa78d51d0a6f8ab7
global_step=17056 | return=-104.19 | steps=144 | track=bd7bc82baaef51290c685aae9835f924
global_step=17408 | return=-39.54 | steps=41 | track=f5c18b9046891abb7e47cbd8a4664b8e
global_step=17408 | return=-160.21 | steps=131 | track=bc4d3269b745e8883b2116fb5204405f
global_step=17552 | return=-115.11 | steps=143 | track=029c454755c2070960ca15cef94ca45d
global_step=17552 | return=-31.91 | steps=60 | track=ef050793b0b3837aeb6140a926d72a00
global_step=17744 | return=-142.90 | steps=131 | track=9a0f81e335248cdfd55cc78eabf70d9a
global_step=17760 | return=-5.85 | steps=72 | track=7d075fa18bffd3161c65cad367dbf99f
global_step=17792 | return=-81.13 | steps=133 | track=e00ddd5c0ef554068036cea312766919
global_step=18240 | return=-149.97 | steps=131 | track=c96c586d04634f73230fa67f83ce3ce8
global_step=18304 | return=-34.53 | steps=46 | track=91d1cb6c9b7d0264b21314da03fff9ed
global_step=18416 | return=-176.21 | steps=174 | track=68a76396ee58c3e31e23099345d4dbf3
global_step=18512 | return=-153.51 | steps=131 | track=4d5490bd648f7e43f6c2ad57b20edeea
global_step=18528 | return=-61.03 | steps=48 | track=43faa35f2688d2c6b71cbb5dc047d6ae
global_step=18528 | return=-147.20 | steps=130 | track=8ad3ee2e9fa7ed929ae8d8870c942279
global_step=18688 | return=-153.70 | steps=131 | track=181d8383fc1e5d0933800140fe9e2b56
global_step=18784 | return=-55.38 | steps=152 | track=b7443bb8994ad371f132d180110268ee
global_step=19104 | return=-173.85 | steps=129 | track=1a4b0019777e468967a5f9a2768def1a
global_step=19520 | return=-150.76 | steps=131 | track=1ef8219b24d39ed0080e99c6d4fac3bd
global_step=19520 | return=-139.31 | steps=131 | track=165d6b143fe0af374ac2282a25cd15f9
global_step=19648 | return=-149.52 | steps=130 | track=9af69d1dd0cb5ab38222c533030dea8c
global_step=19872 | return=-129.43 | steps=131 | track=d226bc46007a5110d37a9210cbd84539
global_step=19872 | return=-176.30 | steps=175 | track=1d193560e4042817a4efc13b418cdd34
global_step=19904 | return=-145.76 | steps=131 | track=89d30174529c05c0956b68beccb13709
global_step=20048 | return=-171.20 | steps=200 | track=370a7231aa78d7062ca4e78deee03fe7
global_step=20304 | return=-85.70 | steps=100 | track=d2cf9542ba3e82b83073ec1ad4f48cef
global_step=20416 | return=-140.00 | steps=131 | track=cf40707c6f31449c8eb61f8ce0986a84
global_step=20512 | return=-85.82 | steps=141 | track=b783e89bcb0306085ec30c0296f47678
global_step=20512 | return=-140.58 | steps=130 | track=73240cd2ee08e529f9542a0153f115a2
global_step=20608 | return=-2.34 | steps=67 | track=62051964338a83f2dc6e4064d581a506
global_step=20640 | return=-149.80 | steps=131 | track=ee9315a520700db47567c09a3bd168c3
global_step=20640 | return=-149.96 | steps=131 | track=45601a138af4a188d682e43e78ad536a
global_step=20880 | return=-142.00 | steps=130 | track=e2adbf0a99f3bb1e57649a92462cd4d4
global_step=20928 | return=-11.47 | steps=63 | track=1ea7c2bb36fbc08a79e076969682a4c0
global_step=21216 | return=-151.05 | steps=131 | track=2b51f4d222079ad51efd10b9529eee74
global_step=21632 | return=-146.69 | steps=131 | track=de15cf5e1fca42dd1f517408c062e49a
global_step=21728 | return=23.36 | steps=69 | track=ef0f6b26600101307fa2b6338516c5a0
global_step=21920 | return=-34.29 | steps=64 | track=4ade41801ef40e2a357b650a301b0520
global_step=21984 | return=-147.51 | steps=131 | track=744e86835418f32e9649126cb0711891
global_step=22064 | return=-50.21 | steps=150 | track=863c783c450869691e10cec58e3806f4
global_step=22144 | return=-178.69 | steps=130 | track=7a1d60b1808e000c2561e451c5f1217a
global_step=22400 | return=-65.89 | steps=117 | track=53090d01117f50a0d981f3424debf4d5
global_step=22400 | return=-145.67 | steps=130 | track=0f54bdf533a68b683327de419314cc20
global_step=22512 | return=-232.43 | steps=249 | track=e9b926647ec22da911e680218a535dd2
