/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_fc_0.5_bud_180_21-07-13-22-39/info_settings.txt
Device: cpu
Navigation model path: old/experiments/navigation/runs/CarRacing-v3__ppo__1__1781901069/final.pt
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=11584 | return=-137.50 | steps=130 | track=88d44b89fc24298766524d2ac03d3a9a
global_step=11680 | return=-137.47 | steps=131 | track=0d2588cb86fe95c4d699932eb9c570e4
global_step=11696 | return=-48.62 | steps=50 | track=ea858e0c90c430ac3db2ea71d30a2499
global_step=11824 | return=-134.39 | steps=131 | track=e26dcda5e96abb7697b3ac7a3d51ad12
global_step=11904 | return=-142.16 | steps=216 | track=2a7dae6822c705ebf82243eb5d64d411
global_step=12000 | return=-135.11 | steps=131 | track=5b8a5b13b7bce23f0923c402ff783dd3
global_step=12272 | return=-146.25 | steps=130 | track=88b2ccb358b3f11e7a887a1384ebd7d7
global_step=12288 | return=-58.42 | steps=93 | track=6af04c2f7a3883d1877b4debb58c33ce
global_step=12432 | return=-25.31 | steps=52 | track=a8e2df8a5ef1f21a697fbcbcadae8c2e
global_step=12592 | return=-137.61 | steps=131 | track=ed01bf74a21ae9debda2c911b7d038f4
global_step=12640 | return=-140.75 | steps=130 | track=431247d529ea95fff1a4636c1c6234db
global_step=12656 | return=29.23 | steps=105 | track=b2cfdb8368929b57f11541a9282ba995
global_step=12656 | return=-133.31 | steps=131 | track=c913989577dc1aebef7e7f20b40709ec
global_step=12992 | return=-128.13 | steps=131 | track=dcc056521aac28550a12aee3079e89bc
global_step=13280 | return=-132.20 | steps=130 | track=45a07cb3ed57947b48fcd056072e38db
global_step=13328 | return=-19.93 | steps=154 | track=35707ad149f692cccbd46fa263ebf1cb
global_step=13600 | return=-2.43 | steps=118 | track=ccf744656a05ec098205687c39f535ce
global_step=13600 | return=-134.20 | steps=131 | track=900ff77181b1128a15f1606854551c3b
global_step=13632 | return=-57.51 | steps=60 | track=60d1486d6f879d17243aa9787701bcbb
global_step=13920 | return=-128.38 | steps=130 | track=81db33df515841664d092fb6b27c578c
global_step=13936 | return=-71.43 | steps=102 | track=c0c26b3876278c5954ba5111fbabfbd1
global_step=14112 | return=-135.01 | steps=131 | track=03972b7187b7d7858f535317b3eff222
global_step=14272 | return=-132.27 | steps=161 | track=b74f8a711a82d2e877458f3bc582d138
global_step=14368 | return=-50.54 | steps=47 | track=79a4699314cf6cfb77023e76b9a4683e
global_step=14368 | return=-152.30 | steps=130 | track=1ed96a3f30f16d00701a32553caf18b1
global_step=14544 | return=-126.76 | steps=131 | track=775420500999e145a6cfc26d8176736b
global_step=14688 | return=-139.86 | steps=130 | track=1324a1fd8d232acc9a5076dab6459efc
global_step=14752 | return=-126.46 | steps=131 | track=c33469ae979e7fd906e21acd76c4d7a6
global_step=14768 | return=-125.63 | steps=131 | track=7c3e5185dd61d0eddce872b8d2e8c584
global_step=15104 | return=-42.15 | steps=45 | track=73e20b48ca740afcf33b4e16bc346ab0
global_step=15376 | return=-40.87 | steps=108 | track=863ff64472f9978500ca543b3b3c37ec
global_step=15376 | return=-122.79 | steps=130 | track=c2a6a851979d01ab5583453da324d638
global_step=15424 | return=-61.91 | steps=151 | track=44eab35302911246faf223b2f62aa236
global_step=15712 | return=-139.23 | steps=131 | track=01b82c07041decbd81bb3085972c4001
global_step=15760 | return=-14.60 | steps=61 | track=f6b0aedac20bd28d283be1ff762fb197
global_step=16048 | return=-127.76 | steps=131 | track=8f3efd7cdefb0593c7c5be894b197ef5
global_step=16128 | return=-19.18 | steps=46 | track=6f5311161836bb60498043010c4efaa6
global_step=16320 | return=102.59 | steps=149 | track=14b50f6d28338aa18319f2d26e32af15
global_step=16368 | return=6.46 | steps=78 | track=2a78235842e3a4673b7f40f24bb7cb57
global_step=16384 | return=-127.74 | steps=131 | track=33de9107dc9412753ecf54ae4b2ab988
global_step=16384, SPS=100
global_step=16464 | return=-133.58 | steps=130 | track=a6fbd298a401c4c7c71431c08e8026d9
global_step=16464 | return=52.12 | steps=284 | track=73dfba8a4ecc20ab4c391e60a97dda21
global_step=16512 | return=-61.79 | steps=149 | track=6544de353d4db9eac13b83db6d1d28bd
global_step=16800 | return=-116.39 | steps=131 | track=91479bdb853e142474d3582352e20945
global_step=16944 | return=-49.58 | steps=149 | track=4e7d53d5e153f7d5fc3a650c03e435b0
global_step=16976 | return=104.89 | steps=227 | track=8bd690e18390c8392ffdcc6d772015f7
global_step=17488 | return=-125.86 | steps=131 | track=f03bec0240043aa014b122d7ecb4e031
global_step=17536 | return=-79.13 | steps=72 | track=daa0021423f1356f20afa83b97afb01c
global_step=17536 | return=-136.40 | steps=131 | track=2b4c1bd06dd3d7ae4867494e1ec7f2ba
global_step=17824 | return=-125.40 | steps=131 | track=68b1343cd7f4f6784cdad9af4185659c
global_step=17872 | return=-129.24 | steps=131 | track=4e01f90d41781cc4cc36497c27df7959
global_step=17888 | return=-119.62 | steps=195 | track=ad01e48705980318b2b111fea4697113
global_step=17952 | return=-16.75 | steps=62 | track=4953519e4a2df4bfbb4ddc00e87bf704
global_step=18144 | return=-133.73 | steps=130 | track=ca5957af9feb11c434a48ba2e9b8d8d7
global_step=18240 | return=-132.69 | steps=131 | track=38d5805ebb2ce784aa439c4f6e45bd5d
global_step=18432 | return=-131.75 | steps=131 | track=e50036dc34c7444e357572f8c3809923
global_step=18480 | return=-138.17 | steps=130 | track=bcfa5ba6afc1fbb57200d3af2334d5c7
global_step=18560 | return=-139.34 | steps=130 | track=76fedadf90a3948708f08e23a2219d88
global_step=18576 | return=-133.48 | steps=131 | track=21659aa0313d03c63a2aa21ea48b674e
