/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_fc_10.0_bud_180_21-07-13-22-41/info_settings.txt
Device: cpu
Navigation model path: old/experiments/navigation/runs/CarRacing-v3__ppo__1__1781901069/final.pt
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpuNavigation Model loaded on cpu

Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=13376 | return=-204.00 | steps=131 | track=b9e246b5b04056e794584853ac779f5e
global_step=13664 | return=-71.53 | steps=150 | track=24a5e5ba162dae879a7fae0fdc017b77
global_step=13696 | return=-222.61 | steps=148 | track=7687bbdcb594b6c39b285775f4efaf44
global_step=13776 | return=-260.01 | steps=131 | track=e704e8c70e4438ddc61799febfd08354
global_step=13792 | return=-228.98 | steps=131 | track=86de2366bd62140482cc5998698a26a7
global_step=13872 | return=-194.96 | steps=131 | track=ffbc6a6f8eb5d7a618c8d5b6b7658940
global_step=14272 | return=-205.20 | steps=131 | track=9b2df11dcb6fada20c159edce1ddcc97
global_step=14544 | return=-247.57 | steps=178 | track=f94070858225cd95a75d531109ac5b5f
global_step=14736 | return=-293.26 | steps=131 | track=32444f9eb676fa64a19e968dfee42137
global_step=14736 | return=-208.74 | steps=131 | track=0190b4d9fb2f267a07ab3f0bf86230aa
global_step=14800 | return=-90.59 | steps=63 | track=c4d3e05e63b714ac640eea7f42b7d310
global_step=14880 | return=-327.18 | steps=174 | track=52892ed71c6a6b400ea38662e869aab7
global_step=14960 | return=-195.90 | steps=131 | track=c10407330e6a35edcc22c68a3a835e21
global_step=15152 | return=-242.54 | steps=131 | track=722dcc6a7a3bd19cfcea5ecc11e55994
global_step=15408 | return=-265.55 | steps=130 | track=b23d3cd96243a347edb1c2d81f3bcd00
global_step=15472 | return=-215.55 | steps=130 | track=d0b12a88128ab761d68ba30b340c3c43
global_step=15808 | return=-234.17 | steps=131 | track=e7aa7d977a2d63562f246aaa1b910d4b
global_step=15824 | return=-136.49 | steps=197 | track=0e6e73026b361e4f451cf10a66f9dc0a
global_step=15920 | return=-258.92 | steps=289 | track=40c7808c2ef8b80525c3b8ed03227dca
global_step=15952 | return=-85.87 | steps=61 | track=084bbec0aa7eb02dbf2251c15b23f5e8
global_step=16240 | return=-430.13 | steps=147 | track=9aa120fecd2cbc95bda442a54d257e0f
global_step=16384 | return=-155.20 | steps=131 | track=5c1bd66cf0cda908663731c0168781ef
global_step=16384, SPS=77
global_step=16480 | return=-199.99 | steps=175 | track=41d8a1a8979c7a7537215dd7b669d342
global_step=16624 | return=-344.15 | steps=176 | track=92934d99cea0ba6984777adc23e515b9
global_step=16656 | return=-156.58 | steps=131 | track=90caf737e5fcd7f2e8f407ed10b138cf
global_step=16832 | return=-219.30 | steps=130 | track=4b24365224cf60a652ed445b972134a1
global_step=16848 | return=-77.98 | steps=55 | track=7dcd18ead7a413c39ab142b5e54cbf66
global_step=16848 | return=-200.01 | steps=131 | track=00dfa5b71345d0e11788a2d42ed8cd4c
global_step=16912 | return=-217.03 | steps=131 | track=2d8ee7e6f9cc200efbc1189313ed338f
global_step=16992 | return=-318.46 | steps=131 | track=3e386f4259fdd1e2dca5d039de7311f0
global_step=17520 | return=-207.47 | steps=131 | track=6e75e8886b6b80f5829939b72222ee84
global_step=17632 | return=-203.07 | steps=154 | track=f6cc90b425f67932b4362eecc84544f6
global_step=17792 | return=-228.46 | steps=144 | track=1d7c8bf6f89b5fc9aefcb8146cabf791
global_step=17920 | return=-211.01 | steps=131 | track=cffe74d5c03683419aea12e200a29031
global_step=17936 | return=-232.54 | steps=131 | track=1b2a25359c573d0fe7b94ae4933e3c93
global_step=17952 | return=-48.33 | steps=68 | track=e6787a0a400fa7691c14c30c529168e9
global_step=18016 | return=-44.96 | steps=63 | track=0fb52bef42171fa94082be06ba391bb4
global_step=18208 | return=-214.80 | steps=142 | track=e0a55bf1fc31a4d61075bb0074e55a1d
global_step=18496 | return=-315.90 | steps=131 | track=f8e6bc7942a1c3318430eb25d1f46a90
global_step=18736 | return=-255.21 | steps=131 | track=b397db96dd717cc6c508cfbfc1129ee5
global_step=18768 | return=-173.75 | steps=131 | track=f0abc3a464504bd5cbd4d89b42e3f39b
global_step=18784 | return=-264.49 | steps=158 | track=2b06ef49a8872d45b7aaec599365181d
global_step=18928 | return=-106.88 | steps=44 | track=d80e77cf789d4569a6e6850e592b5933
global_step=18944 | return=-230.13 | steps=131 | track=6d0823a942fdf818436624e87861e803
global_step=18992 | return=-33.75 | steps=65 | track=a091a5bd5d94790df50ab4ef77f5e1f9
global_step=19024 | return=-201.47 | steps=131 | track=b54dc110dbdc64c979364def555ab9bd
global_step=19200 | return=-240.18 | steps=146 | track=ee8769cdc1037d695364381fc5cc0d82
global_step=19632 | return=-212.76 | steps=131 | track=bc43455b4cec5bec716177fbe516c5cf
global_step=19744 | return=-293.51 | steps=131 | track=abd0482f9de7ed15265996c94a383141
global_step=19792 | return=-212.19 | steps=206 | track=d43165c31b6bda094b77369f3607bfa7
global_step=19904 | return=-231.97 | steps=131 | track=209f796aa3815b3a5e23dcc64f8e16ba
global_step=19936 | return=-42.39 | steps=61 | track=b3a5211916d4e7582a7ec11656658abf
global_step=20032 | return=-221.78 | steps=131 | track=def7d64069dac434845dcbf6553672a8
global_step=20064 | return=-234.48 | steps=131 | track=8c424943ae7b476f4eb462488aafc9b0
global_step=20096 | return=-38.44 | steps=55 | track=486a799019c969ae2c97e1bb5ce50383
global_step=20112 | return=-204.89 | steps=130 | track=cde80e5e17324d98655df54ad21400b7
global_step=20128 | return=-5.09 | steps=68 | track=aa02ea52b81b64a7a707dc159fa63885
global_step=20144 | return=-241.30 | steps=85 | track=c9204bea42bf984ca8e706235dedd31f
global_step=20608 | return=-186.58 | steps=131 | track=77c1c39905f3e4038851ef14bbb67655
global_step=20848 | return=-227.47 | steps=131 | track=fbec331f04aa1f519db7e75bac15bd98
global_step=20896 | return=-222.16 | steps=131 | track=60dd2dd22ae9dc7c5f302c08837b7c0a
global_step=20928 | return=-62.65 | steps=63 | track=e2c209ed10a94d4d6273f635fa67faff
global_step=21040 | return=-197.03 | steps=131 | track=41e49b889b041b1ad07db2cd12f36954
global_step=21088 | return=-259.51 | steps=130 | track=f05d127087a2390b1400a95b51162647
global_step=21440 | return=-84.42 | steps=80 | track=8dd0caa7ab250868c57f76e62f22788f
global_step=21744 | return=-207.91 | steps=131 | track=91187616e716e1143c7e2ecc3d4e35fd
global_step=21840 | return=-154.78 | steps=127 | track=9e7de7de7cfa6a814e54ca7c4f7aef02
global_step=21856 | return=-244.17 | steps=131 | track=83ff3f97722c5e1559270a0943f8ddc1
global_step=21872 | return=-67.67 | steps=63 | track=c581cc729ee2d5efce6cda91f195b856
global_step=22048 | return=-202.76 | steps=131 | track=f50fa2338422f509091cee5b65c97953
global_step=22144 | return=-323.26 | steps=131 | track=705cccf1a884fb31dd3ca0d3e9a1d578
global_step=22176 | return=-218.13 | steps=131 | track=4110b7ac1f05b4f13c27d77487b61dd5
global_step=22208 | return=-175.90 | steps=131 | track=fabbf0879bfb966281122f92487fc86c
global_step=22240 | return=-213.64 | steps=131 | track=37af93367b266a12485bd9cc8b6a9881
global_step=22704 | return=-219.73 | steps=130 | track=849eeb6b3b14e4fbb4fb27372913adac
global_step=22816 | return=-130.26 | steps=168 | track=edeb39419fd4715380ad305afd512f22
global_step=22864 | return=-75.22 | steps=69 | track=efe799a9de3d7bc5445145f20c0a1a89
global_step=22992 | return=-180.93 | steps=130 | track=41f52d9c904ae78804e732a442ac8e8c
global_step=23040 | return=-205.20 | steps=131 | track=27e8deb058b545eb5d1d9e0993d959ed
global_step=23056 | return=-121.47 | steps=50 | track=9c8007eb6f09b507065dc20c8ec5118e
global_step=23248 | return=-58.96 | steps=68 | track=1c5bbaf296c1567a77cf3ee062ad05b0
global_step=23536 | return=-224.84 | steps=130 | track=a9693af90e196006aa4314290321516f
global_step=24032 | return=-367.41 | steps=186 | track=c577e613c15ba241a0178e8a27a8528e
global_step=24160 | return=-195.15 | steps=144 | track=c611a9db956d39a6d6fe9f97cc8c1f8b
global_step=24160 | return=-228.77 | steps=131 | track=604665eee934110e71e0d1d307a45308
global_step=24272 | return=-222.78 | steps=130 | track=b25e600d1d7d3b20640a1703818b0033
global_step=24304 | return=-166.26 | steps=152 | track=5235652c42d714d92b665cca78e02478
global_step=24304 | return=-252.21 | steps=151 | track=a17be78d2579c797b945a24f12efad1c
global_step=24320 | return=-314.48 | steps=131 | track=44f9957689e60d585d70b5d00483043b
global_step=24816 | return=-237.03 | steps=131 | track=55985a7f88f78d3c1754d9ace1789df7
global_step=25072 | return=-149.07 | steps=46 | track=b81b44d5f0a814051392427c7708ac36
global_step=25088 | return=-169.94 | steps=130 | track=4e0acb8cf72948a1c4f229307a49e477
global_step=25136 | return=-222.39 | steps=130 | track=8c582ce5408bb499df5e74564f594225
global_step=25152 | return=-120.98 | steps=142 | track=55acebd6486fb1dd390db346b8a211cf
global_step=25200 | return=-150.33 | steps=148 | track=a286b602c041685f05c1fd6d00ac6c82
global_step=25360 | return=-188.17 | steps=131 | track=ea8ab1b2ce935b5fa42398bd2277d901
global_step=25504 | return=-194.37 | steps=152 | track=e8a7493ad3e9dd000434d6d5e2d2a443
global_step=25648 | return=-243.51 | steps=131 | track=33da605f2c1d78810bcaf549d2c24399
global_step=25808 | return=-53.50 | steps=61 | track=16527cd7401706d9e626d752f206948e
global_step=26144 | return=-244.17 | steps=131 | track=c0174555d42ecd82a0141ab49b68f4d4
global_step=26224 | return=-60.48 | steps=63 | track=3fe8316f24c22df02119116f2af611d8
global_step=26384 | return=-282.50 | steps=131 | track=89ce2def5ea3c912c4189484c2282bad
global_step=26400 | return=-250.95 | steps=130 | track=106530de8a9a8f090fb4c7f84298eeec
global_step=26544 | return=-260.48 | steps=148 | track=6ebf36297ce8e237722680a1301a880f
global_step=27072 | return=-307.11 | steps=172 | track=6e6d3be4b74e4b2ee7e9e48717c82e7c
global_step=27184 | return=-244.00 | steps=131 | track=0036a6d0a5a93558f88ba088e0c9147e
global_step=27200 | return=-230.01 | steps=131 | track=c25b9cba7f53b4d5d999d5809462996a
global_step=27248 | return=-236.70 | steps=131 | track=31e006194e450e30f2d943f9379f6a89
global_step=27264 | return=-264.24 | steps=131 | track=4ec1d4290f9e59ad0e3589f849baaee5
global_step=27472 | return=-173.75 | steps=131 | track=525ece33b6bc2c394b00c18810546967
global_step=27600 | return=-227.51 | steps=130 | track=6e881bdd2273484164bcbe2e30dd3f64
global_step=27712 | return=-4.13 | steps=81 | track=c6004420130947a2454a0846e6b5b52a
global_step=27760 | return=-194.96 | steps=131 | track=de7fba1687fe8c77a227c9a4f5a597d2
global_step=27920 | return=-276.81 | steps=131 | track=c4f26335c5ee7d72ae42558e6d70d4e8
global_step=28208 | return=-65.91 | steps=62 | track=cbb5ee2f00b39686b326734fa073fcff
global_step=28240 | return=-301.80 | steps=130 | track=fb5383ea6d8e88a04eb4368f3f02adde
global_step=28320 | return=-187.05 | steps=130 | track=0322d9591b21659981c81237ee2f9abf
global_step=28496 | return=-251.01 | steps=131 | track=332a113fc766ed77ad4b49d3768d185a
global_step=28656 | return=-199.19 | steps=131 | track=403af10ff5601d43461e2819fd11db7b
global_step=28672 | return=-22.07 | steps=66 | track=e84a01588ad6a52cb46260c47853f690
global_step=29184 | return=-206.81 | steps=131 | track=cfdf94e30eb576a1fe3c9ab2460a7eeb
global_step=29344 | return=-232.20 | steps=130 | track=be7b342d203adbcc6a1abd04e3b0e25b
global_step=29376 | return=-223.75 | steps=131 | track=5ef6b3c072d68f171313052a5a012b97
global_step=29536 | return=-123.00 | steps=146 | track=4db2fc8205e855e3f7c792a1f3ea7981
global_step=29584 | return=-229.30 | steps=131 | track=d38039f78323f369364ebf6850fd6c34
global_step=29600 | return=-602.35 | steps=531 | track=202e361ee5f7a594676cb49d61bd344d
global_step=29824 | return=-247.66 | steps=131 | track=8a0d6a31776301e2027095c230f162cb
global_step=30032 | return=-201.99 | steps=131 | track=def8f9827394153819a40408beda7722
global_step=30320 | return=-292.25 | steps=131 | track=b9ae603d0084d07bff67b98777bf1316
global_step=30352 | return=-185.20 | steps=131 | track=9b3438338fb29a84491de113585ce159
global_step=30560 | return=-303.45 | steps=174 | track=6f5ca2e89d788d398635ccc789e14862
global_step=30768 | return=-236.13 | steps=131 | track=bca0eae916c798b1f36a281373199109
global_step=30768 | return=-218.39 | steps=130 | track=d9db039601269165bc3ab2cd204a387e
global_step=30848 | return=-122.85 | steps=50 | track=f07f76ecf041c65bd728801d20bc78a0
global_step=30944 | return=-195.12 | steps=84 | track=f99cc7dff18e2403c544de612fa29e5c
global_step=30944 | return=-188.76 | steps=152 | track=6ac8689011ae6ee321d15c4b4ff5e5db
global_step=31296 | return=-240.01 | steps=131 | track=cde5aaed2ba9ba27a1437cf250b4edd5
global_step=31440 | return=-243.10 | steps=130 | track=dfc99caf40c049e74ce70968d5e4f69f
global_step=31472 | return=-180.14 | steps=196 | track=c0c3bc6eb22b02ecb32944b282bbb1f8
global_step=31488 | return=-236.58 | steps=131 | track=157d57675ddb638050dacd5713bdf30f
global_step=31520 | return=-121.69 | steps=41 | track=1440697cb6cfc27002e9e90c4b7b378b
global_step=31648 | return=-210.41 | steps=131 | track=3158020c24ee2779216fae1233d3d35a
global_step=31664 | return=-138.29 | steps=44 | track=a0f0751c09588942328b45f16c4e6955
global_step=31712 | return=-267.50 | steps=131 | track=2051b826f7ddad28dca31aaab33e5ffc
global_step=31776 | return=-73.62 | steps=62 | track=099ac3929feb3abe32363e3d3ad2d024
global_step=31936 | return=-208.98 | steps=131 | track=3a72ad48d6c39c5f3023e1d3956809bd
global_step=32368 | return=-160.65 | steps=57 | track=2a38905196d022b3390fc410722490f5
global_step=32432 | return=-183.09 | steps=131 | track=2e9e94f87c8917d9157b7af6a032cf13
global_step=32656 | return=-328.02 | steps=530 | track=8726378649d56d24b63f2a7b0a782749
global_step=32672 | return=-48.62 | steps=74 | track=de9f61dced3d3dc5fead83cad95c87f0
global_step=32752 | return=-93.48 | steps=149 | track=98a5b3c58639fec790b3384a39bf61e6
global_step=32768, SPS=73
