/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_fc_2.1_bud_90_04-08-13-42-34/info_settings.txt
Device: cpu
Navigation model path: experiments/navigation/CarRacing-v3__train__1__1785768450/final.pt
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=25296 | return=-141.06 | steps=131 | track=e750b773e2b946faf9395be2bc2b1e5e
global_step=25600 | return=-164.24 | steps=130 | track=95f8016b0b3cf0eb5410ddbac060e8d8
global_step=25648 | return=-155.10 | steps=130 | track=8ae2cc3ea3e86d9549f8d7d38f24952d
global_step=25744 | return=-106.54 | steps=96 | track=5ba50cfcdb7d61a4b72939818e9a8301
global_step=25872 | return=-151.88 | steps=130 | track=23e2dfe84ff8dbef65975449ad072fdd
global_step=25952 | return=-64.38 | steps=240 | track=1c6bd9821a171791491e2c3dd7e4b538
global_step=26016 | return=-144.27 | steps=131 | track=d539b11475b6b8a81191d84228be1370
global_step=26128 | return=-135.82 | steps=131 | track=9225025e78e4e83cec2d4f6031c86276
global_step=26240 | return=-18.35 | steps=69 | track=63d8b8ab88c4e7a10bb9102167ce6602
global_step=26400 | return=-143.50 | steps=130 | track=551683f36191742d6ae6c10a06058893
global_step=26480 | return=-117.06 | steps=108 | track=6b0f7ba19b5ee7ef4dda5a96b42fe7f9
global_step=26768 | return=-80.26 | steps=149 | track=2bf8b23aaaaf8c78fadd0db2a2a0fe00
global_step=26784 | return=-116.70 | steps=92 | track=f59d0ef042afff3fa33796591958294b
global_step=27072 | return=-139.18 | steps=131 | track=b41818def142bea358a2f6eda2b6172a
global_step=27088 | return=-81.40 | steps=89 | track=5d6318089fc9796545cc147af28a5317
global_step=27136 | return=-145.00 | steps=131 | track=0a0fededcb92f0b71e45375953c9a64f
global_step=27712 | return=-152.49 | steps=131 | track=9525c879c154c2d376a1adfbabcbee1b
global_step=27824 | return=1.06 | steps=65 | track=0f441231b38d31af5b81e8e9635de006
global_step=27856 | return=-155.28 | steps=131 | track=563f7104c21de89cd4ad18c0d5098727
global_step=27872 | return=-96.56 | steps=108 | track=4c6df0f5ce07c4cb66c95b96cd2fc086
global_step=28128 | return=-148.71 | steps=131 | track=b2e91faaedab9186a92536aeb6cd2e3b
global_step=28304 | return=-95.44 | steps=151 | track=69b73875677678128174eb19669fe619
global_step=28352 | return=-172.33 | steps=131 | track=263a48fffbf39301474c1321b450e53b
global_step=28368 | return=-77.31 | steps=40 | track=bb791a5ea0813f734ed2ca6ae276629c
global_step=28400 | return=-57.94 | steps=152 | track=da2a80fee104dbb1afaaa462d9ee8336
global_step=28592 | return=-150.68 | steps=131 | track=8c216c5ac2eb4844861bfa68c5fc53d2
global_step=28592 | return=-156.68 | steps=219 | track=7c7e9a1323c2004f8dafa5b4c0b1b4fb
global_step=28832 | return=-75.94 | steps=151 | track=46e2994464ee1ba4ee9964db1e8ce801
global_step=28928 | return=-7.24 | steps=65 | track=cce5cca04e14aff3e08a82cf6c5c1015
global_step=29040 | return=-159.30 | steps=311 | track=41ecc3252dcf2cca8e49ac55919ea63c
global_step=29168 | return=-166.07 | steps=130 | track=881da6afab0d125ffca06626dcf97730
global_step=29200 | return=-143.04 | steps=131 | track=4884911bf9743c8d809957f2fd1b04c9
global_step=29232 | return=-150.30 | steps=130 | track=f085a0e160f3153deff5be8fa64dc14a
global_step=29392 | return=12.07 | steps=64 | track=b3d07a1329d7c341c01b6992b05b5237
global_step=29424 | return=-27.82 | steps=164 | track=996a08deddf0b805d32da87f1b1c56ed
global_step=29632 | return=1.68 | steps=64 | track=759450b6eb63dd8db8aa8075aa1a56b1
global_step=29968 | return=-155.83 | steps=131 | track=0f4a743ac5c6b51bec8077bd4610d5d0
global_step=30240 | return=-120.28 | steps=131 | track=05473582f08afb8e03c0a5c13801a4b2
global_step=30336 | return=-56.93 | steps=56 | track=4d5d36c753b5e9bf7232dc9168450819
global_step=30416 | return=-170.51 | steps=131 | track=66ac7a34fd39899e409fb5d85cf529da
global_step=30464 | return=-166.88 | steps=130 | track=ff410582f7622c6c935d45a70b6080f9
global_step=30512 | return=-135.93 | steps=131 | track=db7ed6454965349f9ccb48a3061f0244
