/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_fc_2.0_bud_90_04-08-13-42-33/info_settings.txt
Device: cpu
Navigation model path: experiments/navigation/CarRacing-v3__train__1__1785768450/final.pt
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=10736 | return=-36.90 | steps=49 | track=43f9b42bf7645aeb3c87d949a8cab269
global_step=10896 | return=-163.18 | steps=131 | track=472dfaec1a3e5ee4bd23105e773da355
global_step=11152 | return=-134.68 | steps=135 | track=bf5e160138066553daff305d719e2ba9
global_step=11472 | return=-139.03 | steps=131 | track=4399b6d7100199176cb3a0f31ce39956
global_step=11776 | return=27.27 | steps=68 | track=413c0b9956e35893f8942657b1ef836b
global_step=12064 | return=-153.67 | steps=131 | track=96e86e758b6ac50c92132ce964ee49c0
global_step=12128 | return=-137.47 | steps=131 | track=09448b80365609d4173a5d1983223329
global_step=12144 | return=-141.47 | steps=131 | track=f8403f6be0ae8df68e2c6993d555fe0c
global_step=12144 | return=-133.87 | steps=149 | track=373d03e3be4d35a4883e8f1c30d9dc86
global_step=12160 | return=-141.39 | steps=131 | track=2ebcd4e84e6b542baa461f6f0e8ed8a7
global_step=12288 | return=7.90 | steps=86 | track=8dd307dfeab933f4acf2b93cb76af5f3
global_step=12288 | return=-160.76 | steps=179 | track=7fa7ab8814a807a1e9c016c1b0095401
global_step=12288 | return=-130.75 | steps=114 | track=b2edc0028e9025a23850b2a53bd743ae
global_step=12320 | return=-147.69 | steps=131 | track=2d600d5a92e16e784d4d1886ca37d769
global_step=12592 | return=-152.34 | steps=131 | track=e8b162a930becfe2e0445fe4bb7aff0d
global_step=12640 | return=-133.75 | steps=131 | track=6a87d32bf9089879e4345e9c670f6122
global_step=12640 | return=-96.61 | steps=53 | track=acd5dbea55bec86c1e1766812efdbe93
global_step=12832 | return=33.56 | steps=84 | track=696b870cb243373fa799bffa263a8a3a
global_step=12848 | return=-54.48 | steps=44 | track=ca5b0c20522fe75da4c1b0d4098d7e4a
global_step=12848 | return=-154.98 | steps=131 | track=752adaebf95466cf626a0843854d4122
global_step=12976 | return=-59.92 | steps=150 | track=0d813bf5d72537a53522222a41f79d1d
global_step=13056 | return=-18.90 | steps=61 | track=4a9a68d9e2156fc289c03dc376d055ee
global_step=13264 | return=-145.82 | steps=131 | track=37e1420170e84eb4f8acd3ae4e89fdb6
global_step=14096 | return=-49.66 | steps=121 | track=35df9b836bac0766edd475222024f040
global_step=14176 | return=-107.96 | steps=95 | track=29090d7981e6409e53006cffd702f15d
global_step=14256 | return=-160.70 | steps=131 | track=3cd667206703395e12c669a5fee157f3
global_step=14272 | return=-149.60 | steps=131 | track=e613e76581b03f0aca2ee85b6ec7cd9c
global_step=14400 | return=-133.73 | steps=131 | track=97d4b7073e97c29706e4c9c49905e0d8
global_step=14400 | return=-140.35 | steps=131 | track=97b9af8d3441d803573b8239aee64e54
global_step=14400 | return=-137.20 | steps=131 | track=f2dc1e14f26c84886cc68b6d232babbf
global_step=14416 | return=-138.37 | steps=130 | track=d8e2c00b70e715791a70b0f5d4e4b1b0
global_step=14704 | return=-164.98 | steps=131 | track=b5de8acb9e02ce82d4b4502a39d4d36b
