/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_fc_1.9_bud_90_04-08-13-42-33/info_settings.txt
Device: cpu
Navigation model path: experiments/navigation/CarRacing-v3__train__1__1785768450/final.pt
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=12400 | return=-37.88 | steps=66 | track=a090696f09bcdd44eee6cc7d7dbfa6dd
global_step=12672 | return=-137.23 | steps=131 | track=615fb5eb0980ff200c62be1aa091c74c
global_step=12720 | return=2.51 | steps=67 | track=66b4c51851d679317cbba5fccafdb5d7
global_step=12784 | return=-150.70 | steps=131 | track=418c242a5b50951750700379ded72d2e
global_step=12976 | return=-141.10 | steps=131 | track=494147eb97c492b03e276ac0f2714c70
global_step=13264 | return=-163.79 | steps=131 | track=2ac1ace5ea5775da19cb466ff913a7dd
global_step=13344 | return=-152.28 | steps=131 | track=29c2f8d9f588a0d9c330cd88b26cfa12
global_step=13344 | return=-83.21 | steps=94 | track=702ad5fde0f2667d0e9a822a93b40dd2
global_step=13392 | return=-138.95 | steps=131 | track=9e414ec38d06a078b3481cc76953cbfd
global_step=13600 | return=-34.40 | steps=74 | track=c16d67a71cfa8b27b6c02435397b4183
global_step=13648 | return=-131.49 | steps=131 | track=eca90768b0dd3fd7d15fd287ff9c2d43
global_step=13824 | return=-145.47 | steps=135 | track=778db27127c79ed9f73498f83e2e32ac
global_step=14368 | return=-154.86 | steps=131 | track=2a875170af72af7f24d3d3c697d899af
global_step=14496 | return=-137.19 | steps=131 | track=c0c15c2f502bce2419e6b3ab8dc64acb
global_step=14768 | return=-157.46 | steps=130 | track=b84c01f8804c9c3a7c0524363a8aaac0
global_step=14832 | return=-149.03 | steps=131 | track=8d4fae96d1073deab4babb9e50c7c828
global_step=15008 | return=-65.43 | steps=186 | track=f0b971b670857e748633882d51d8a522
global_step=15088 | return=-136.30 | steps=131 | track=8b320e70543ad2a3245f895bfe331387
global_step=15360 | return=-155.24 | steps=130 | track=36fab9153bb99c8b710276dc328242e0
global_step=15392 | return=-51.18 | steps=38 | track=b1ae7648c221ec40c4e51a854db6397e
global_step=15440 | return=-144.08 | steps=130 | track=fb35fb23f9d289c042762b93be737c3c
global_step=15456 | return=-141.82 | steps=131 | track=27918bba91f79c895ef316a21b290b11
global_step=15744 | return=-98.79 | steps=146 | track=6f93f8d3909f665754713a215082e6bf
global_step=15760 | return=-151.71 | steps=131 | track=d6b74dbe54f71f0cb0e36f3876a9a34a
global_step=15904 | return=13.83 | steps=66 | track=32df9593233f514a7a0158bbcc0a2e81
global_step=15920 | return=-145.96 | steps=130 | track=0dbc8169f9915be30a97f986b7098f93
global_step=15952 | return=-114.18 | steps=402 | track=65445cf4078c750548c640f6b824fbcd
global_step=16096 | return=-17.57 | steps=62 | track=742b70e3c603bdcf3a18ff7c4392ffab
global_step=16144 | return=-107.20 | steps=158 | track=a6d1ac8629b8a8920d132d8aed264481
global_step=16384 | return=-62.16 | steps=57 | track=cb0956e2fade446e38f142ac8374cfa7
global_step=16384, SPS=81
global_step=16480 | return=-153.61 | steps=131 | track=081f93f9d6d17d7bae87774cc63fd1e7
global_step=16512 | return=4.34 | steps=66 | track=52553403a5e67329cf758990e85fa62f
global_step=16608 | return=-160.30 | steps=131 | track=f3189e2b31d2cf9e7a1d1c6bb29353e4
