/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_fc_1.8_bud_90_04-08-13-42-32/info_settings.txt
Device: cpu
Navigation model path: experiments/navigation/CarRacing-v3__train__1__1785768450/final.pt
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=17456 | return=-40.77 | steps=49 | track=d343ec14ab33ed2288a1c3bba73e4079
global_step=17568 | return=-126.19 | steps=131 | track=4136122d2911e318e9a1fcd48efafaf0
global_step=17632 | return=-71.70 | steps=40 | track=0e4503e929b33eb53e9c167f96903156
global_step=17664 | return=10.88 | steps=62 | track=42c639f9d96b0610d45ef4bbb15cb7d9
global_step=17808 | return=-139.73 | steps=131 | track=eda10747fc61747de80bc3b630919c69
global_step=17840 | return=-115.25 | steps=89 | track=bd56775c882c4b1c3cc3c61d7a0dd44a
global_step=17872 | return=-162.45 | steps=130 | track=3bd6565018e708b29aef521e5471fd07
global_step=17936 | return=-65.82 | steps=44 | track=ee7c57cadcf13a7c64ed115a5511d223
global_step=18032 | return=-88.41 | steps=146 | track=51014927b3c85a1dc79f2841a082acaf
global_step=18208 | return=-142.53 | steps=131 | track=e2eb8d2022d7f3f2925dca23b1be90a5
global_step=18224 | return=-140.07 | steps=131 | track=074e90bccc1f4f3c1a95ca9df664668f
global_step=18512 | return=-42.38 | steps=52 | track=29be6f063905eaa902f41ea29000f42c
global_step=18624 | return=-7.81 | steps=72 | track=1f1bbf1418de3d3f584cf15c908be94b
global_step=18704 | return=-138.40 | steps=131 | track=2b7f4e8d6afb76d7e3127eceaee41794
global_step=18720 | return=15.96 | steps=71 | track=64e38320488ce9117c7fa5119a59f7a0
global_step=18880 | return=-148.79 | steps=130 | track=326dab3c3e7662f5c2c1c8ceae750119
global_step=19056 | return=-149.19 | steps=131 | track=ab61b86d699ca993c2801aa0aef2357b
global_step=19120 | return=-117.45 | steps=110 | track=14445b1921048648364b2ce5134b4b72
global_step=19408 | return=74.36 | steps=97 | track=535600cab1d17cea2e22189cbe1286c3
global_step=19472 | return=-144.36 | steps=131 | track=9f2a19e0e1fc9038735f454e0edcfac1
global_step=19584 | return=8.67 | steps=66 | track=1511d89e78160e5d982f9cf25845421a
global_step=19728 | return=-143.92 | steps=130 | track=368014bfc4041d88c9b6282aa5230a92
global_step=19920 | return=-138.27 | steps=131 | track=8e580359cc82c30fc32e41d07736fc29
global_step=20032 | return=-159.90 | steps=130 | track=1cdbc16d645dc4c26e273941216ee2c6
global_step=20080 | return=-5.63 | steps=63 | track=749fca92582d04d0a0b4e609f751758e
global_step=20144 | return=-141.43 | steps=131 | track=6ee32e9620aba087138619252ea17b9f
global_step=20320 | return=-148.12 | steps=131 | track=1458ab93ad9ac247b24c74b6f17ba106
global_step=20336 | return=-143.52 | steps=131 | track=b85202a69ffcb87b01a28e88fc8032b3
global_step=20496 | return=17.31 | steps=67 | track=5c8f25ac0b19b36c08a9383a41f04282
global_step=20736 | return=-140.40 | steps=131 | track=73a58a547e77d1b318986c9ff8e3c5de
global_step=20816 | return=-139.41 | steps=131 | track=6c6885a1ddb4a393879dfbde6942c2ff
global_step=20848 | return=-149.90 | steps=132 | track=7de5aa4aaa295571ec2993f4e7c87baf
global_step=20896 | return=-115.66 | steps=110 | track=063dcd06f6be39a8523aeac820121b74
global_step=21568 | return=-139.44 | steps=130 | track=a84df3615a860ca8fade36daa93798d4
global_step=21696 | return=-142.40 | steps=131 | track=ee9bb593e82dc95bd09fd283a41e9029
global_step=21744 | return=-108.43 | steps=241 | track=95586aeba0dc2cbe79e5e0e891944b88
global_step=21760 | return=-111.86 | steps=88 | track=94142c6a4f7b83f1aa689e5f35edccb7
global_step=21776 | return=-26.64 | steps=64 | track=d6764d333748ba2c28a57157b26c7f09
global_step=21776 | return=-42.06 | steps=57 | track=683f0666b6aa0f6a162a3debb44c7134
global_step=21840 | return=-150.43 | steps=131 | track=55662748716c69473b84032ca812e8e0
global_step=21952 | return=-92.41 | steps=112 | track=7e4f6d6cbc6546a3e5d37b1643105c57
