/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_fc_1.9_bud_90_04-08-13-45-38/info_settings.txt
Device: cpu
Navigation model path: experiments/navigation/CarRacing-v3__train__1__1785768450/final.pt
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=16384 | return=-122.51 | steps=297 | track=b845d2477b1ce1c7a91fe0f9f9f26bc2
global_step=16384, SPS=66
global_step=16400 | return=-127.42 | steps=101 | track=e9834b32a0010307da81cc22bd484384
global_step=16480 | return=-55.41 | steps=154 | track=920cd9f62acbc87c26de4da6cbb82b50
global_step=16528 | return=-58.35 | steps=64 | track=e8fe1db184f6db5dba0fbbbf6c741f7e
global_step=16832 | return=19.85 | steps=67 | track=84c604d31b491bfa00fed1003524d78b
global_step=16864 | return=-146.21 | steps=131 | track=148a1ade6ed91d39c6aaafab26a898e9
global_step=16928 | return=27.01 | steps=66 | track=7963bf99c07fb25eca33229d6e1f5b09
global_step=17104 | return=-53.98 | steps=47 | track=757ac31ff00da52effc62eef12f33492
global_step=17120 | return=-33.34 | steps=65 | track=faf31f43913974838ea37e8e0d13b39e
global_step=17248 | return=-140.35 | steps=130 | track=140ce9e03a4fbd57e604673e9ec6bc8e
global_step=17264 | return=-142.30 | steps=131 | track=e04aeda56e0a5d7b14a992e96602c062
global_step=17456 | return=13.37 | steps=66 | track=8b716cf8f4fe41884e711d303601ed97
global_step=17648 | return=-9.89 | steps=80 | track=6ab834d2246949ec41706413a44637c4
global_step=17920 | return=-152.78 | steps=130 | track=184938555fa8fb1e6c3be7d167566c64
global_step=18144 | return=-3.51 | steps=63 | track=031d4bfa2ba3758a87bb4de4d1859e1e
global_step=18272 | return=-34.84 | steps=63 | track=6bb344cded2c1a1eb97f7391771ab21a
global_step=18336 | return=-37.66 | steps=153 | track=606e40a5da370bba930374120148ba40
global_step=18464 | return=-1.11 | steps=62 | track=b5171e2101da6a1316130976ac52e441
global_step=18512 | return=-139.94 | steps=131 | track=7c6ef6a1fac7405d0ce1e77aa901df62
global_step=18624 | return=-143.84 | steps=130 | track=68e0078d623d3998e620137dfb854999
global_step=18624 | return=-130.82 | steps=194 | track=665a44c79f182c0bda725299acb90e20
global_step=18640 | return=-15.89 | steps=61 | track=405c219d1d5d0af03459fbfddab8d85f
global_step=18704 | return=-75.11 | steps=89 | track=78b044d5907322825c3041b461bc68e1
global_step=18848 | return=-87.22 | steps=147 | track=452c4c636c9d8b754ba2e317fc443453
global_step=18912 | return=-122.49 | steps=129 | track=c1921dd114a087c5d43a142bf819b1bd
global_step=18928 | return=-120.50 | steps=113 | track=5f5390b3e4a66f67ebc22097b942eb84
global_step=19008 | return=-76.14 | steps=41 | track=dc59710790ecbb821d881b9507b1709b
global_step=19040 | return=-148.39 | steps=131 | track=f09089d59bf361433e6c76f63c36b99c
global_step=19456 | return=-102.37 | steps=161 | track=d14e1d4cb56c2168fe8d3b4a7064eb3b
global_step=19568 | return=-28.18 | steps=57 | track=a3c5ab8806465362647b90c459c0d651
global_step=19760 | return=8.75 | steps=70 | track=a7fc614238214bb9d94e43252230c52f
