/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_fc_2.1_bud_90_04-08-13-45-39/info_settings.txt
Device: cpu
Navigation model path: experiments/navigation/CarRacing-v3__train__1__1785768450/final.pt
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=11456 | return=-230.88 | steps=307 | track=745b9b9250cbe8e67aa6a9e3eb6a179c
global_step=11584 | return=20.91 | steps=68 | track=4282970145726edd1160d136fcc2095b
global_step=11600 | return=-216.15 | steps=193 | track=01ab2348756db9f4e3ec32dcf35210c1
global_step=11600 | return=11.84 | steps=200 | track=46606cbd24823ab248179d8b9d6da3e7
global_step=11696 | return=-139.81 | steps=131 | track=b3ea13b1d4a1a6267ad7177cd311b4af
global_step=11744 | return=-104.72 | steps=129 | track=ee4a753b82d97a67fb35588a4d195f03
global_step=11760 | return=-141.90 | steps=130 | track=b0d17ca931298c1c16bd73cb58dcfc69
global_step=12000 | return=-140.30 | steps=175 | track=7d3de6d50e68e77319fccdd75ed64970
global_step=12032 | return=-149.46 | steps=131 | track=e9f657d8b449b348f2c42f8b80e2097f
global_step=12608 | return=-145.51 | steps=131 | track=42199e33789428e40cc6aa0620a6baf1
global_step=12848 | return=10.57 | steps=67 | track=484aad9b58f19e535a91b69ffc776e6f
global_step=12864 | return=-139.81 | steps=131 | track=abac246d54da7972ee1cc316896580ee
global_step=12928 | return=-145.14 | steps=131 | track=752691a33a06fa3e345477e2a2145de3
global_step=13072 | return=-89.40 | steps=91 | track=89190a2be1e7a20564fcb23e3c3021aa
global_step=13184 | return=-149.97 | steps=130 | track=dd5b0df5c13b344a2b85f17870ae576e
global_step=13216 | return=-143.23 | steps=131 | track=b684f28292620d2fa84493351d0fd3b7
global_step=13504 | return=-152.02 | steps=131 | track=b0bdee3cec8dd1389316a2944f4110e2
global_step=13568 | return=-158.53 | steps=131 | track=50f77d56df55052ec017a372bb361c84
global_step=13680 | return=-154.05 | steps=130 | track=b0eb1cb7bdfb6860cf4c2543943fd5ad
global_step=13712 | return=-138.21 | steps=131 | track=3671a48195b10a550da155078882195d
global_step=13856 | return=-146.77 | steps=131 | track=31552a12f3f36a740f0760ecc169d45e
global_step=13888 | return=11.21 | steps=64 | track=9c2d222efe6b370a94cd06c81970d0f5
global_step=14144 | return=-151.97 | steps=131 | track=53932938fdaa6247d47e6727df5166a4
global_step=14400 | return=6.22 | steps=247 | track=846a6a311a6a65f09aba38be13d69f0d
global_step=14512 | return=-96.40 | steps=98 | track=4fbaf910030648204f65a99cd7fe0cb5
global_step=14592 | return=-47.62 | steps=161 | track=8f74cedee3ae543467c23853ca3fad48
global_step=14720 | return=-146.40 | steps=131 | track=8ac59f81c58e95264b2b3adc3baa7e45
global_step=14864 | return=-120.80 | steps=102 | track=2b50ad8c3126218cc65fbc84bdc4aa60
global_step=14976 | return=-173.08 | steps=131 | track=cde34a06cf344e0c949653d6a904e673
global_step=15184 | return=-147.45 | steps=131 | track=f4ee0c206ec6fdef5290b8c7d4377139
global_step=15200 | return=-208.59 | steps=218 | track=cd5eb28f3c4088c18f38091d29fbacc5
global_step=15232 | return=-40.05 | steps=44 | track=d9e5db7dfaf99fdc422359ef781bd217
global_step=15248 | return=61.70 | steps=104 | track=f36a1c2a66a6695f169f01c9281f4c2f
global_step=15296 | return=-137.13 | steps=131 | track=b7d278a757d8a341792a08def20726a7
global_step=15600 | return=-144.00 | steps=130 | track=513279c5666b20a598d5f9961f5396d0
global_step=15824 | return=-149.13 | steps=131 | track=38cd2203050c528bf2d4ff6d0aef40ab
global_step=15968 | return=-89.59 | steps=142 | track=a20ecf42638512044d7cb5f3e7e317ae
global_step=16000 | return=-144.80 | steps=131 | track=7067b11c1c3f672dc1bb05d80e2714e5
global_step=16128 | return=-31.30 | steps=51 | track=117b294bd3fa8b3df7e4c96a7863a2db
global_step=16256 | return=-143.62 | steps=131 | track=2a1d2fb13bf6e101ec0abe63fbce30aa
global_step=16384, SPS=77
global_step=16416 | return=-15.28 | steps=75 | track=d30bef304999d49e102490eed62a571e
global_step=16832 | return=-145.14 | steps=131 | track=aa10695eded26798e40e7a5e0951517c
global_step=16976 | return=-146.29 | steps=131 | track=21a7df63097ab377976aecf451d0d295
global_step=17040 | return=-27.53 | steps=152 | track=0972a2fc603ed7a4f69918fc66f3e389
global_step=17040 | return=-87.46 | steps=89 | track=65902e59b0c87466e594f26af4b2c031
global_step=17072 | return=-160.63 | steps=130 | track=944de05feb48871814224cb8a320fcb0
global_step=17184 | return=-127.12 | steps=207 | track=05255937f27bf1c870717facfea76b74
global_step=17184 | return=-46.17 | steps=75 | track=2e6c1ce372b7123e3090604cec3b9594
global_step=17216 | return=29.73 | steps=67 | track=da363d538dc68c55154429e39dfd22b8
