/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_fc_1.7_bud_90_04-08-13-45-35/info_settings.txt
Device: cpu
Navigation model path: experiments/navigation/CarRacing-v3__train__1__1785768450/final.pt
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=23504 | return=-153.40 | steps=131 | track=ec1a298d94c6ab2faceb5a3b6997dbea
global_step=23600 | return=-153.72 | steps=130 | track=62527736fd17f103a56901f2003cd87a
global_step=23648 | return=-125.60 | steps=130 | track=e4e6a7553d2f1bd6a41124cf7f19b9e5
global_step=23872 | return=-183.26 | steps=255 | track=2c228c0e0d57a120b0e8b7d343f307af
global_step=24432 | return=2.07 | steps=64 | track=34639c5bb21434cbf1ad1015c2b9b44e
global_step=24464 | return=-144.10 | steps=98 | track=fb4f3817ab038117e6d62d43b9a97adb
global_step=24672 | return=-128.43 | steps=119 | track=ffff1515a495760362f57eea15da3cc5
global_step=24864 | return=-161.23 | steps=173 | track=7ac02244c07da2c07088fde84326b2dd
global_step=25024 | return=-143.20 | steps=131 | track=2e6f2238a2f1d9dfa4d01a669c881448
global_step=25152 | return=-148.97 | steps=131 | track=e6d584eda5c89ddb2ad41a71d9f92c65
global_step=25216 | return=-77.06 | steps=163 | track=1df84a5de2c41ecbf3d0ee132fff6efa
global_step=25232 | return=-141.17 | steps=130 | track=56605198c7b050f883280d72df1553f6
global_step=25408 | return=-153.38 | steps=131 | track=850137f97eebad2e5afab8cf5ce3c9b5
global_step=25536 | return=-152.20 | steps=130 | track=cb3dbd51912bf0393abbdd57b62229d8
global_step=25616 | return=-141.94 | steps=131 | track=9d928d9f16176b03b5182932ce98b871
global_step=25696 | return=-141.41 | steps=130 | track=63056b9182a71e397ce8996e1207cf35
global_step=25728 | return=-3.42 | steps=65 | track=1b8304a3351db288b232707b4ea61db8
global_step=25760 | return=-133.21 | steps=131 | track=65a9350462b0e832af1d71ecdcee1fb8
global_step=25920 | return=-68.63 | steps=43 | track=776a234c31a28753c5253fbcdc886b7e
global_step=25968 | return=-143.50 | steps=130 | track=40fd65f3a7565ac88f5aa6e332543a2f
global_step=25968 | return=174.02 | steps=93 | track=97fd8ef9b90edb5654df7c8c9bce4f14
global_step=26352 | return=-107.65 | steps=92 | track=23db846ce8b10914fce8f4fd2de27208
global_step=26544 | return=-151.93 | steps=131 | track=ae280e4665f50d07428e5cf6186cca8d
global_step=26672 | return=-102.93 | steps=89 | track=2315cf32045bc3ce905d062af9989fc6
global_step=27008 | return=16.50 | steps=86 | track=6a88952d383493cdad15b697105d9c1e
global_step=27120 | return=-139.58 | steps=130 | track=873f83405b6c78998813cebb6fd3d16f
global_step=27248 | return=-143.12 | steps=130 | track=205d14fdd6db328f620e95fefd54f3a0
global_step=27328 | return=-201.76 | steps=298 | track=5bda7f45da70cf5c6e3c379b3654b07e
global_step=27648 | return=-143.49 | steps=131 | track=ac011b17695b84184008ae9ea786bbb7
global_step=27808 | return=-133.81 | steps=131 | track=debb1fba848444115e4f1efd886e7b57
global_step=27840 | return=-139.89 | steps=131 | track=ee2a888e2b3e24cef8663179481344e7
