/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_fc_2.2_bud_90_04-08-13-45-41/info_settings.txt
Device: cpu
Navigation model path: experiments/navigation/CarRacing-v3__train__1__1785768450/final.pt
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=17872 | return=-78.87 | steps=197 | track=a480eb704ec94c16d352453b937da2d5
global_step=17920 | return=-145.67 | steps=131 | track=b6019486157b58a05c52988e2229276c
global_step=17968 | return=-135.79 | steps=131 | track=9aef829722222b5b7bbf7f24d29fc1dc
global_step=18048 | return=-164.56 | steps=131 | track=82aa0aa26d8dfe3ff431f2a303ac2b92
global_step=18112 | return=0.05 | steps=73 | track=23535a98c1e1ac1a88ba1569db5bee3b
global_step=18224 | return=-146.21 | steps=131 | track=d0873e3f8a60349a3ec70c7c0ce4cf8c
global_step=18320 | return=29.50 | steps=65 | track=66778df86a6ee93d77d2af76052a7a57
global_step=18384 | return=-143.68 | steps=130 | track=d9a8ebc65e8e702ee204797a2492ee65
global_step=18432 | return=-20.86 | steps=60 | track=d654893d513b5f615e1e657d108369e5
global_step=18544 | return=-139.64 | steps=131 | track=e0727f374084eb32e9d909b7a15e794f
global_step=19344 | return=-122.99 | steps=257 | track=822ab114c6ce6ab182c2344c9d99f385
global_step=19376 | return=-135.19 | steps=131 | track=454553e9a0d8a53a4b05ccb08d94779a
global_step=19568 | return=-11.23 | steps=63 | track=bd0bca6c50e9e1b60319a71023ffe7ca
global_step=19600 | return=-172.96 | steps=130 | track=308c4f49513f7bc2bdb5194351ea55b5
global_step=19632 | return=-147.60 | steps=130 | track=8f3c22eaadb73b65e7d8ec67e094a003
global_step=19712 | return=-125.86 | steps=108 | track=82265751ef57997829f030a260062a06
global_step=20000 | return=-38.85 | steps=40 | track=9e006c5a2dbb3cc66c24a8f22f025bbe
global_step=20016 | return=-167.98 | steps=130 | track=b53a4ce9e4aff8ab3548dce858c83b3e
global_step=20176 | return=-155.54 | steps=132 | track=b96d6af6d5059f5beb3e529e7b4cbfe8
global_step=20336 | return=-151.63 | steps=131 | track=84497133bcef066c4bb7d12e18c420f2
global_step=20384 | return=-73.37 | steps=141 | track=6e52beb7ae40c649790e39c09f7a29a4
global_step=20432 | return=-151.42 | steps=131 | track=2bf990cc6b2b5a9aa6957167cabfef8d
global_step=20496 | return=-138.00 | steps=131 | track=62de4f00e5058982900c2f8ef904fcf5
global_step=20544 | return=-122.32 | steps=131 | track=0ca474de492cb7bda610c2ab1f506774
global_step=21056 | return=-111.87 | steps=235 | track=617a6e62f6dff4c7b19044d30282ee83
global_step=21152 | return=-130.73 | steps=110 | track=8388104eedbf5c8503326cbc95620d7f
global_step=21376 | return=-79.45 | steps=61 | track=ea054d5dde0d772870899a0dbf4eae27
global_step=21488 | return=9.69 | steps=65 | track=9572c5fe7c8fc110edd071b25e0022ce
global_step=21696 | return=-71.63 | steps=128 | track=0519682e5b18edae216e0629a19878e6
global_step=21712 | return=-142.08 | steps=131 | track=a0ac2d8c4d8e819be78936b62fdb2923
global_step=21808 | return=-148.22 | steps=130 | track=7d9206ec600ca0ec445ff1ff821540d7
global_step=21920 | return=-265.76 | steps=411 | track=4d068e9a5a1411cb675c98269f334810
global_step=21952 | return=-83.22 | steps=90 | track=b4c32b18736687bfaf5e6461e8ec937b
global_step=22096 | return=-114.86 | steps=129 | track=8df1b8bf46a82701aa12d514189a66db
global_step=22112 | return=-145.26 | steps=131 | track=85be82d33420c49189375037acb600d7
global_step=22288 | return=-149.41 | steps=131 | track=2b6375885574737711a9d6ef185671e9
global_step=22448 | return=-164.44 | steps=131 | track=c9b6d10db49f12f961ce6a4e2e8eb0b9
global_step=22480 | return=-177.46 | steps=287 | track=ebc08d236ef70f70abfa07e5cff696aa
global_step=22624 | return=-75.15 | steps=57 | track=193502aa346fcd75aabff0e6978da3f9
global_step=22624 | return=-0.22 | steps=70 | track=c477151289cf80acd4537cf957adaf88
global_step=22656 | return=-143.06 | steps=131 | track=6350b9be521119bf8090c639b36e9028
global_step=22704 | return=-60.26 | steps=46 | track=a1113e525f0744767e9977f6ecc2fc4b
global_step=22816 | return=-122.06 | steps=89 | track=44036bdd558d80c0e3fbec53169a488e
global_step=22976 | return=-1.99 | steps=65 | track=c1129881ce2968e85594e6401215b68f
global_step=23200 | return=9.65 | steps=68 | track=1633cfb7cba6d44ed2d6aaed77b71ec8
global_step=23488 | return=-99.53 | steps=104 | track=954505c2c0e049b6956868d5ebb29450
global_step=23504 | return=-108.66 | steps=146 | track=d78001c77cbd6e3624b7a4c65aeaf197
global_step=23824 | return=-149.29 | steps=131 | track=cdc3b5f269db78f70e92a16f2668b919
global_step=23920 | return=-101.05 | steps=89 | track=b4035b1da82e4213428efbadd47c3dd8
global_step=24176 | return=-49.11 | steps=96 | track=bec3d1fb6e137cea738cbccc395e1e58
global_step=24192 | return=-90.12 | steps=92 | track=a010de2e5909dfdaf58521d8008ffcd0
global_step=24224 | return=-151.80 | steps=131 | track=32c7e3ce5d27f1f12eb79388e3f15d46
global_step=24256 | return=15.52 | steps=65 | track=adcfc8f3a99744496ac0c1e2d8ee98e2
global_step=24384 | return=-7.86 | steps=300 | track=e74bc1ee83bbb91091018f6d84bc45b1
global_step=24400 | return=-164.40 | steps=131 | track=f99214f33da843f029279ded1b667cb9
global_step=24416 | return=-127.93 | steps=109 | track=01188d6070370923c3edddfbdeb97d7b
global_step=24560 | return=-151.39 | steps=131 | track=8154388e3c7f7d861186443452df29ed
global_step=24608 | return=-14.74 | steps=68 | track=9ff42e9f30e0853c3461afae5846c8db
global_step=24736 | return=-137.57 | steps=131 | track=8a5520e0c8377f5f5436edcd1fd8203a
global_step=24832 | return=-100.03 | steps=35 | track=1bca0f7f7b09c445f5090aa9058adf44
global_step=24928 | return=-169.18 | steps=131 | track=3b0e36f2d6a54e32a32c990ae5d0db20
global_step=25264 | return=-100.10 | steps=142 | track=fac4581bc09211330798208d494343aa
global_step=25440 | return=-25.69 | steps=65 | track=5f12178e8403acabf0351741b0ace73f
global_step=25504 | return=-220.35 | steps=277 | track=ed3af41b4a8445573efc39c46f5bde80
global_step=25584 | return=-166.74 | steps=130 | track=d1dfa53e24f9d7edaf69371a424b1efa
global_step=25696 | return=-31.60 | steps=53 | track=5bfcd2418ba616085e7afc2dc2493057
global_step=25792 | return=25.75 | steps=65 | track=724746204581d7057f19220becc794c0
global_step=25936 | return=-147.61 | steps=131 | track=b09f64c165e8edf782b33eb5189227b1
global_step=26016 | return=-116.02 | steps=130 | track=3352141646c845bd9172c7a7966fdcbd
global_step=26032 | return=-26.29 | steps=47 | track=d84699e3efea28c2dff684708c403891
global_step=26288 | return=-159.92 | steps=131 | track=e6bb97d83c4c186c3fa4ba725c4c5c90
global_step=26304 | return=-154.80 | steps=131 | track=d9522f776d0803756fa92e0e42ee6932
global_step=26336 | return=-148.68 | steps=131 | track=3a2e2f22c12780be0bc64fe1c6ae4736
global_step=26560 | return=-123.03 | steps=134 | track=6a6986645c2b06578fe20ae307e4f075
global_step=26656 | return=-163.40 | steps=130 | track=29fcfd58640bdbe64a419251b3be329d
global_step=26720 | return=-142.13 | steps=131 | track=5af0d15c965222d32b5c56d0b619bb8a
global_step=26864 | return=-120.57 | steps=152 | track=457371cbf457787a4a6d96a9ca4476b9
global_step=27056 | return=-156.70 | steps=132 | track=9e5703fd16d4a6ab06169a1e554e3fc8
global_step=27328 | return=-92.62 | steps=41 | track=b5a47b4aab184cae79aacaf102da225d
global_step=27552 | return=-150.13 | steps=131 | track=dc6dc1f3910ece52634ac7f031cc6b10
global_step=27568 | return=-32.60 | steps=62 | track=7d7de7dc0d1f966d910cf6cb25ad2f3c
global_step=27616 | return=-147.20 | steps=131 | track=3bf62335b03c8b58f68c771369ea409c
global_step=27696 | return=-146.41 | steps=131 | track=6a71f5316a7c4761809c83ea59b86278
global_step=27808 | return=-147.90 | steps=131 | track=27d75809f4b262de0d5b5c8675bafb45
global_step=27904 | return=-131.40 | steps=131 | track=9594f905b4968da21e31ea15014c2eb0
global_step=28048 | return=-147.67 | steps=131 | track=58c3ca68423f590701aee107e5aafc32
global_step=28128 | return=-159.68 | steps=131 | track=ccc3dfbdb84f7bd5f3f20e2fa6964fc4
global_step=28144 | return=-151.00 | steps=131 | track=a58041d0d2232ee9dddc02470a30c4e9
global_step=28400 | return=-147.31 | steps=130 | track=0de25f40a498b0359a10360c27086220
global_step=28400 | return=-151.20 | steps=131 | track=58ccd03d07c7be7a1330bf4c1a1257c9
global_step=28432 | return=-157.37 | steps=130 | track=7682c6a7ad7f92a35c62df954b5544b2
global_step=28592 | return=-7.57 | steps=64 | track=accdbda3bf92abb0823c8afcfa0d5689
global_step=28832 | return=-153.18 | steps=131 | track=5b2e7668ac9331d1c90a579fcaf2a096
global_step=28976 | return=-175.49 | steps=131 | track=daaac9420dc7bfef60269f134ea71254
global_step=29392 | return=-126.54 | steps=110 | track=992cf44c6bb52c2169a2fb3bcf583b6b
