/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_WO_Time_Pen_fc_1.7_bud_180_04-08-14-41-57/info_settings.txt
Device: cpu
Navigation model path: experiments/navigation/CarRacing-v3__train__1__1785768450/final.pt
Env: CarRacing_VarFramerate_WO_Time_Pen  Wrapper: AdaptiveFPS_TrackAware_Wrapper
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=10688 | return=-12.54 | steps=56 | track=b813c0d1c11f574b63119977b3817dae
global_step=10888 | return=59.73 | steps=68 | track=3bb252df8713bd6e5adb13d36d934d70
global_step=10976 | return=-96.13 | steps=131 | track=74736a1e576072189efc1741d81d485a
global_step=11264 | return=-22.87 | steps=145 | track=d3c784ba04e324f10210f03f0a470388
global_step=11344 | return=-96.49 | steps=131 | track=d28187e5db37dd9f53cd8a547e97ff70
global_step=11384 | return=-84.10 | steps=98 | track=ceb9200b1e3c7783d3f34067e1f1e0a9
global_step=11528 | return=-49.79 | steps=104 | track=0062bccddb751af5dc29db5b62f2990f
global_step=11640 | return=-48.16 | steps=131 | track=334a971669fc750e6264ae439a4bedee
global_step=11896 | return=20.43 | steps=63 | track=15adca3ff382acd60ab5d0b0e999dbac
global_step=11944 | return=-48.70 | steps=131 | track=bb725d9b3e7ea4ed1ffb2a786bef7318
global_step=12168 | return=-80.90 | steps=112 | track=d17eef07add274a8d0fd9a1a45da1a6e
global_step=12192 | return=-37.33 | steps=204 | track=d5f4d9abb5bf7a20cc44b7aa8ec59703
global_step=12208 | return=24.93 | steps=153 | track=284331f8f2f91dbeff7d96e05f1db350
global_step=12248 | return=-54.69 | steps=89 | track=c91a79515e113a1114fd31d7f1c5a19e
global_step=12456 | return=22.12 | steps=63 | track=a52cb2cf529a3a4be0380cb00d886302
global_step=12696 | return=-42.16 | steps=62 | track=2abfb7f7cd3004a4598dc1090fc76b3c
global_step=12696 | return=-100.08 | steps=131 | track=c5bbd4498c5485d7351c3f4da5649ae2
global_step=12728 | return=33.81 | steps=69 | track=7869f4ed7ecd2f8f8b51a9de97de8b76
global_step=12960 | return=-92.39 | steps=132 | track=cbdb3b0cd4d5a12c8d726c29a42b3f31
global_step=13264 | return=-89.56 | steps=131 | track=fcd6ec2196d8a0c2a4d5312a65de2aee
global_step=13304 | return=-89.63 | steps=131 | track=d6ff95a69ed1ec7103fbba18ce272906
global_step=13400 | return=-47.21 | steps=256 | track=ff36545db35f56dbce51e9cff605d518
global_step=13424 | return=-53.69 | steps=90 | track=d49e1b4c957614a6d0b5988afffe6a56
global_step=13512 | return=-94.91 | steps=131 | track=a59ff665d66d34b5a206f148171a67e3
global_step=13744 | return=-76.49 | steps=130 | track=97df74d49987623c129a652158d9d39c
global_step=13776 | return=-71.57 | steps=101 | track=badcb48c4d2cb72bfdc51cddcfb57b92
global_step=13784 | return=-108.10 | steps=131 | track=764d0ffb96352d7b58c6b9d75eab4f56
global_step=13952 | return=62.93 | steps=68 | track=3d71d59820f8a77e4afbcacf5cc19a6a
global_step=13952 | return=-0.23 | steps=65 | track=f87763b1ad4991c695f4944318ed7585
global_step=14040 | return=7.90 | steps=65 | track=12c0463acb5e5c0062185b5070f12a09
global_step=14360 | return=-97.90 | steps=131 | track=b1bb97741641edf18a9406fc782e93a7
global_step=14464 | return=-91.29 | steps=149 | track=9f26022a3a92b23e8245a1ee8fe537a7
global_step=14544 | return=-39.16 | steps=62 | track=41fb225ae487406e7b2f9479483acb44
global_step=14552 | return=-75.41 | steps=96 | track=d2b4c7772cbeed97463bcb8c1733d84a
global_step=14792 | return=-95.78 | steps=130 | track=237bf2b32659b9fc066d75284500639d
global_step=14824 | return=175.17 | steps=129 | track=0840f16888208d6c4be467afa258dd25
global_step=15000 | return=-108.78 | steps=130 | track=c9c24d3e365cd26de7944f1c5b00b890
global_step=15008 | return=-96.99 | steps=131 | track=fc707d3c5babea8376ed10be50cbf86f
global_step=15064 | return=40.18 | steps=87 | track=b21417be4aa8c58e57d267423fd09693
global_step=15136 | return=-43.70 | steps=42 | track=52cb8cd3a9edad3d2d6f25343157bed1
global_step=15320 | return=-74.17 | steps=95 | track=2530adb623e9721e434fc5bcb27af950
global_step=15392 | return=-34.25 | steps=70 | track=1c84219f356bd8e54efa72657c82a272
global_step=15488 | return=12.61 | steps=60 | track=997308620dde7070f3c468da2d61f237
global_step=15520 | return=-110.26 | steps=131 | track=55026e1becebda9cf430c49691c35134
global_step=15560 | return=60.91 | steps=68 | track=594d314876610ceedad8139753eacbbd
global_step=15576 | return=-110.11 | steps=128 | track=1156a3a045f98d07415c944a02668d8e
global_step=16152 | return=-1.93 | steps=71 | track=25e0eefbbed0464d07746c27abb050a1
global_step=16160 | return=-49.68 | steps=136 | track=6d868caf79d3e28da677f53b61e8fe69
global_step=16192 | return=-97.99 | steps=131 | track=ce711d4e102b8d260fdd362e99699d06
global_step=16384, SPS=34
global_step=16440 | return=-51.20 | steps=130 | track=5a145ac81e750ae51587c7cee5c9d004
global_step=16544 | return=-89.11 | steps=131 | track=204e12ce23f2f88b910ea4dca091fc6d
global_step=16568 | return=-3.84 | steps=155 | track=1425f67cd7e4713afcb65d393e25123f
global_step=16576 | return=-92.51 | steps=131 | track=53db6711fcd421b08fd3715e6caf0504
global_step=17208 | return=-103.22 | steps=131 | track=284809c4c78e773191afdfdc9b5eeb6c
global_step=17208 | return=-65.03 | steps=78 | track=512b498374742dfba2e898cee2392b26
global_step=17248 | return=-57.03 | steps=87 | track=5ee3ce404cc5a8685a6c0c0417f4e4d1
global_step=17488 | return=-84.32 | steps=130 | track=7544eb8c6bedab6fa4ae789b7b297458
global_step=17672 | return=-87.15 | steps=188 | track=53c5dc9a66b2ca0c180147ca6be0bd5f
global_step=17688 | return=-59.80 | steps=139 | track=4f8ce527d6c1f79db289d6c84f4b2d1f
global_step=17984 | return=-38.63 | steps=61 | track=c98f8d837af0b7d55c02e95276f166e6
global_step=18024 | return=-56.90 | steps=101 | track=43f26b5775156abd74f536d34cdf0b31
global_step=18304 | return=-89.56 | steps=131 | track=cfc3e7070e0d62207a19ff7c0383b0e1
global_step=18360 | return=-13.77 | steps=143 | track=3ae24b392999d2a9ab2e86255eebf325
global_step=18400 | return=-73.74 | steps=51 | track=c4c3b5b00261b58e413e6ca9a18d78b5
global_step=18528 | return=7.50 | steps=62 | track=858c72a514cb7177321f20442b557cf3
global_step=18584 | return=-76.60 | steps=113 | track=3ddd543c486b34bfaba43796b75be02d
global_step=18744 | return=-99.50 | steps=131 | track=187ae549ad5b3f62c15066d10fb60f34
global_step=18760 | return=-56.37 | steps=320 | track=1d07ffb06929471272f21eae87c5cb49
global_step=18808 | return=-37.07 | steps=62 | track=0277e0c416f88882e86a7a8974dead3c
global_step=18928 | return=-67.25 | steps=420 | track=8522871be0c44624c12dbcd3da737710
global_step=19416 | return=-94.59 | steps=131 | track=5a5e8eb5da3ac72fa0f9c5eb7ff06da1
global_step=19456 | return=-87.66 | steps=131 | track=39d284e1b6ad59b20278c0a0c81d294b
global_step=19640 | return=-89.10 | steps=131 | track=24647a984de90d49850bcf2e2bb39d9b
global_step=19816 | return=-87.79 | steps=131 | track=4c02075d664cb32ce393647604c8f85e
global_step=19864 | return=-89.62 | steps=131 | track=78359f350e707290d127a075201f93eb
global_step=19912 | return=16.31 | steps=61 | track=7987802b5d2e9891fb965a0f973cd4c7
global_step=20448 | return=134.60 | steps=212 | track=5ff00da60f17caf42211bef48880226f
global_step=20696 | return=-40.00 | steps=270 | track=489cd8e36b6bc8c90cde46a1492300a4
global_step=20696 | return=-2.01 | steps=220 | track=8f891504da1514545410eaa053f89ded
global_step=20872 | return=-90.41 | steps=131 | track=81dcafc259185b1be97375f46fa8d79a
global_step=20968 | return=-82.05 | steps=131 | track=7ef1ca0d83f1c383fe8dc805884a9f57
global_step=21360 | return=-13.35 | steps=60 | track=b18f4e6caa258313b363c1e84b64e284
global_step=21368 | return=59.03 | steps=83 | track=fb1920c4a9a81755cb17e5de0b15e8e7
global_step=21384 | return=85.99 | steps=217 | track=6aa9a2006acb6c7107e3518c58687254
global_step=21704 | return=-91.45 | steps=229 | track=5df0f5830800a00e88dac139f49b4131
global_step=21704 | return=-15.63 | steps=156 | track=88e4786f54ac1a5779e331cc540bef78
global_step=21752 | return=-91.56 | steps=131 | track=4f0353e4d7a716e4a33eddb888136c46
global_step=22016 | return=-89.11 | steps=130 | track=14c7b92668d998602d43fbebe9aecf59
global_step=22112 | return=-35.13 | steps=44 | track=8c4c875b3b727a6c099d30abdfc4210d
global_step=22216 | return=-6.05 | steps=63 | track=81942b916c482a840f97cdbb3eb98510
global_step=22224 | return=-38.02 | steps=345 | track=c57419ade1bc354bc0a6fc47044d7cbe
global_step=22440 | return=-96.61 | steps=131 | track=0af7fc87fb7a2d69617d992e842ac540
global_step=22640 | return=-104.35 | steps=158 | track=3778125b168bc5a605dcf06b59eb8cc8
global_step=22760 | return=-95.93 | steps=131 | track=00e4b823e54a1373341ce5d420ec0485
global_step=23064 | return=-98.33 | steps=130 | track=3fd69d24d8c920483e65e54e82ce6e95
global_step=23144 | return=-19.81 | steps=222 | track=53955288377857e879645b53af249519
global_step=23168 | return=-93.02 | steps=131 | track=ce8d81aeed24c2c674f99463bb9f5a48
global_step=23216 | return=-25.15 | steps=56 | track=11a2c493dac5ca341c8c5f8e67585788
global_step=23272 | return=-86.71 | steps=131 | track=510d624dc668ec5ab47925c814be512c
global_step=23344 | return=43.47 | steps=87 | track=de008f12ba79ca9a120aea8ea8d73691
global_step=23496 | return=-85.57 | steps=131 | track=a9a97bd30e4236e150e60c462b7ce664
global_step=23600 | return=-52.24 | steps=47 | track=3a1ec9e405e3b925ea89cac27e5f7a5a
global_step=24064 | return=197.38 | steps=98 | track=e7d6f6d7b732b90d0c87897a582eda51
global_step=24120 | return=-92.50 | steps=131 | track=6f2fe984254ac60cbc9482c1ba22a1f8
global_step=24200 | return=-100.42 | steps=131 | track=e590ddf3d9e0757cd5237d48938eec3f
global_step=24224 | return=-103.00 | steps=131 | track=2dcd20af8e4df090717ae675df2c2e38
global_step=24400 | return=-89.38 | steps=131 | track=291cebc6d442dfd267da391e6d85fbb3
global_step=24408 | return=-97.33 | steps=272 | track=af035c022c239781422b53ca9702d925
global_step=24576, SPS=35
global_step=24680 | return=12.00 | steps=76 | track=0b1cb3a72cb1e95ccc64a90c8cdaa88f
global_step=24808 | return=-2.99 | steps=163 | track=6e32bd495fecfc9183db958d9589a399
global_step=24848 | return=-77.53 | steps=90 | track=0f11a8bd20546223d4c77ed441256400
global_step=24904 | return=3.68 | steps=61 | track=6504c0732c8d8d6d2faf913c3daf744c
global_step=25008 | return=20.40 | steps=175 | track=6ee1406ff63dc3246e56aece21e21e22
global_step=25096 | return=-70.46 | steps=108 | track=f21c41a7dd0c4a4a21389942f7ef5a6c
global_step=25312 | return=23.10 | steps=78 | track=c65026783fb78b84e641eeae1df2ee67
global_step=25440 | return=5.15 | steps=154 | track=390943af4972c99244507f6ab5648c0d
global_step=25448 | return=48.34 | steps=67 | track=4b9acd7ecc5a1ed9619b57b09809fc23
global_step=25456 | return=-89.19 | steps=131 | track=1d9a16b899b5876fdfb3cb01effe6413
global_step=25560 | return=52.52 | steps=68 | track=82e2d9e207f7de418a6e863d1eba946b
global_step=25904 | return=-108.01 | steps=131 | track=3bab56a9495bb1abc73d381570811ece
global_step=26144 | return=31.15 | steps=85 | track=7a8ad92c580134336f67a8875b7ba621
