/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_WO_Time_Pen_fc_2.2_bud_180_04-08-14-42-03/info_settings.txt
Device: cpu
Navigation model path: experiments/navigation/CarRacing-v3__train__1__1785768450/final.pt
Env: CarRacing_VarFramerate_WO_Time_Pen  Wrapper: AdaptiveFPS_TrackAware_Wrapper
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=9952 | return=-26.69 | steps=157 | track=0a269c97dcc6793f76b87d17b5632261
global_step=9992 | return=-88.02 | steps=131 | track=a4ddb60de4804f7e001c87856cd42e6b
global_step=10008 | return=-100.37 | steps=131 | track=5ad6c397ff4ab5a44c600acb54f259a6
global_step=10432 | return=-96.49 | steps=174 | track=c2985072413a88c8fe1374260b5eb257
global_step=10448 | return=6.21 | steps=61 | track=454a5846b7b4723ed6dd875b80321b76
global_step=10936 | return=-88.73 | steps=132 | track=ad1e1b0e238e4e3fcbafb8f794ee0b3e
global_step=10944 | return=-46.78 | steps=61 | track=5b902b0d3f11a13bfa5b0c529f6d5fd6
global_step=10960 | return=35.72 | steps=65 | track=03eb051260d55e9f68e997f0fbf1f033
global_step=10968 | return=-21.58 | steps=206 | track=023797d9df31722c06229e9282f8783f
global_step=11048 | return=-86.53 | steps=131 | track=6a3155ef62a50938634c2d37fd448e7b
global_step=11064 | return=-91.40 | steps=131 | track=ab9c94c489ef7ff31e396daab0060b46
global_step=11296 | return=-60.10 | steps=40 | track=4a9494be1a1c446e9cc4289180d94ba0
global_step=11440 | return=0.43 | steps=46 | track=82951d4f482292b4b37827dfd3ef27ed
global_step=11496 | return=23.97 | steps=66 | track=ceb18523dcee54f6ebc5db6a25149241
global_step=11672 | return=6.83 | steps=90 | track=c49d26b8dcf0ab324dbebf054fa752f2
global_step=11984 | return=-71.43 | steps=130 | track=97db6b54117d4afc1a0ca71f318adf99
global_step=12040 | return=-116.36 | steps=373 | track=703c55cd53c74e006cef99cefd285326
global_step=12104 | return=-102.99 | steps=131 | track=f82f5c9cd717b435d98d2492cc04e57c
global_step=12352 | return=-96.99 | steps=131 | track=b2724f742ba3d47e8c8f2ce73a577632
global_step=12496 | return=-96.71 | steps=131 | track=a53f146ab9e39317cc2f3e8a36c5363c
global_step=12552 | return=-96.03 | steps=131 | track=1a7b725bf295c3267340fe72c2882884
global_step=12624 | return=-0.84 | steps=441 | track=e3411f8b6c3bb87b4a8c6364a1fa2835
global_step=12728 | return=-94.86 | steps=131 | track=29ac8437ab03792a783ebf35476692c2
global_step=12752 | return=-7.71 | steps=88 | track=3a634388bb2e21f10770a8206f89a1be
global_step=12952 | return=-94.84 | steps=105 | track=cc38ddebe4ac862e1c11f25720d95bfb
global_step=13032 | return=-94.38 | steps=130 | track=9473759106a9c5e997f11a0244e0bbbd
global_step=13288 | return=25.04 | steps=66 | track=1c1c1ae008ddd03a57386633f0a47c6e
global_step=13408 | return=-98.24 | steps=131 | track=50aba21b3c1b89553824ee0cb9607747
global_step=13440 | return=-124.20 | steps=88 | track=e80b0ee987d83488bdc9d82fcb6cdc3f
global_step=13552 | return=-99.91 | steps=131 | track=d977789d4dd646ec840cd0f0ae9deaaa
global_step=13608 | return=-89.66 | steps=131 | track=e5feebd447f4e3d8b4accb4dc8902696
global_step=13672 | return=-117.14 | steps=130 | track=3c71ffa065e77cf86fd39e9b8f1e5fb1
global_step=13928 | return=-34.54 | steps=39 | track=602d6bc74db3003f17643c0be96c165f
global_step=14008 | return=-91.40 | steps=131 | track=9a774fc3d56cb3514bdd7d04525a49a1
global_step=14088 | return=-90.22 | steps=131 | track=58fab2f39eed9fbde2f811d6531ef3f1
global_step=14344 | return=-96.48 | steps=131 | track=2e59a0cf5e35b936196fbff562e0e583
global_step=14456 | return=-53.41 | steps=130 | track=8bd35ce2c57179d46acc0eed2dfb9c79
global_step=14496 | return=-89.66 | steps=131 | track=d22b5139e9fc642627d2e0cc3313c5d4
global_step=14496 | return=-39.84 | steps=60 | track=88ff86383b044b29ec7ba5140ed10815
global_step=14608 | return=-84.77 | steps=131 | track=0b81b6fcbe5f85b4afd6ec3f1c1d96fc
global_step=14728 | return=-103.75 | steps=131 | track=7c90443d7be79abd92a2a6658cc1f8de
global_step=14816 | return=-54.36 | steps=44 | track=3e0770131c463dc4e540c8405034629a
global_step=14976 | return=-106.51 | steps=130 | track=5a66eed3526054d25a1136567cecc91e
global_step=15008 | return=29.18 | steps=63 | track=c4d76d34735b1dd00ba09d00a2357fbe
global_step=15136 | return=2.93 | steps=65 | track=0509f454922accd4d76d37fe9bf1989c
global_step=15152 | return=-9.81 | steps=132 | track=b5497c8b873b6d1fbd8cd16e67a0a98e
global_step=15392 | return=-119.43 | steps=130 | track=2c4b80a81b7229873118edcb8cf88bfe
global_step=15552 | return=-91.37 | steps=131 | track=6bf76ca936b36a47313d4a3d147f1109
global_step=15560 | return=41.74 | steps=68 | track=8e8031a75db1d1bad967b12c328ef565
global_step=15720 | return=-79.15 | steps=92 | track=f923869973eb137d0b90e0e545039bb8
global_step=15784 | return=-91.21 | steps=131 | track=96e47dcb31dc92e355d431ddfb833e71
global_step=15848 | return=-1.55 | steps=128 | track=6be2b75d2d04f7213388e9f048e166d7
global_step=15880 | return=-79.75 | steps=92 | track=15918d27a1752d9f073cfc5796b1a72c
global_step=16144 | return=-102.65 | steps=123 | track=678b7e75f012de033fdab71f1e5bd7bf
global_step=16384, SPS=44
global_step=16432 | return=-122.00 | steps=88 | track=95bc564bd112b24197252d981f5b26e3
global_step=16448 | return=-110.80 | steps=131 | track=51e73c49390b908b6da5cdae4ddca300
global_step=16616 | return=-87.67 | steps=131 | track=476fde953c437ebc260383386de62cff
global_step=16768 | return=-63.39 | steps=151 | track=d13365cb79137f5033bfcf255946d86a
global_step=16832 | return=-92.71 | steps=130 | track=adc11c9b07ea7d27ed401210c41fcb0e
global_step=16904 | return=-87.05 | steps=131 | track=092728600a98d44dfd6dd40c598b2f88
global_step=16936 | return=-107.09 | steps=131 | track=474d949b608505c7f2504d1e9a569c06
global_step=17200 | return=-97.33 | steps=131 | track=0128974db86272be5a58b851d29aadbb
global_step=17488 | return=-89.01 | steps=131 | track=15939c2f6a63f794c42305789b06ba7c
global_step=17504 | return=-103.75 | steps=131 | track=1e58019d35e82e8ec068295ee9ce8219
global_step=17728 | return=-40.48 | steps=138 | track=76c2e2e5deb098f5c2887991a9428f9e
global_step=17800 | return=-75.28 | steps=74 | track=cef047b57690f364dcfa2041d4b6c67b
global_step=17824 | return=-108.12 | steps=131 | track=4d662fa8408c760f7a591ba2316261ab
global_step=17960 | return=-85.93 | steps=131 | track=111584005544d9e9b0fdbd513d621ad3
global_step=17992 | return=-59.47 | steps=62 | track=705b485f3e22ad6abf6a529096743ca1
global_step=17992 | return=-95.51 | steps=131 | track=25e6221c90d18e76b8c96ed9395a8019
global_step=18032 | return=-79.30 | steps=149 | track=ae597a591a5b5f0c92e6deb661692158
global_step=18232 | return=3.27 | steps=62 | track=39289a3a25c6af46452d5597e7581404
global_step=18320 | return=23.45 | steps=64 | track=98780ec8ffea4bfb7e4fd0309d959c44
global_step=18560 | return=-105.01 | steps=131 | track=13f5bb833d4f43312cf67949fbc7e629
global_step=18584 | return=55.96 | steps=73 | track=61b0910a17fcfc4509f94e87d3cab529
global_step=18800 | return=-50.39 | steps=104 | track=aa338db56bd47605d6b02f0c3cee3189
global_step=19040 | return=-49.48 | steps=130 | track=91dc2b9cc0ccf2cb29a1e112d247bcad
global_step=19088 | return=-99.13 | steps=131 | track=4840ea48a367664fa1fbd587ad39eb0d
