/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_WO_Time_Pen_fc_1.8_bud_180_04-08-14-41-57/info_settings.txt
Device: cpu
Navigation model path: experiments/navigation/CarRacing-v3__train__1__1785768450/final.pt
Env: CarRacing_VarFramerate_WO_Time_Pen  Wrapper: AdaptiveFPS_TrackAware_Wrapper
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=14632 | return=-115.87 | steps=131 | track=35dc9d119def36039edae9ab1dc75ade
global_step=15008 | return=15.96 | steps=78 | track=af7a0cfa2882820cb99cc30e10582587
global_step=15016 | return=-89.65 | steps=130 | track=ca10fff280e7be7eaf30793504696175
global_step=15200 | return=-93.15 | steps=131 | track=ea78800d3d077a4b817bd9237ad90a78
global_step=15368 | return=-92.71 | steps=131 | track=27526b7dc0bfd0ab556e1625252eba2a
global_step=15432 | return=-91.28 | steps=131 | track=084253aa864edece5c6f115eabfb180e
global_step=15496 | return=-31.46 | steps=142 | track=53fc6faa3eea7479b07eacd9972dc2f4
global_step=15688 | return=-89.55 | steps=131 | track=5105d78dda99d7a609943166c92fadea
global_step=15808 | return=-31.20 | steps=146 | track=a9b0315be016a5be8e89d09d49933601
global_step=16048 | return=-66.65 | steps=128 | track=08565b0f6625e25052a2b6b4e04885e4
global_step=16064 | return=-64.74 | steps=131 | track=0af5bad5769c1f3fc725b154e3c20bda
global_step=16144 | return=-51.98 | steps=41 | track=101b24f1aa0efad9c280546d441a20da
global_step=16256 | return=-113.17 | steps=131 | track=d675680aeb3199afb32012c265a571ff
global_step=16384, SPS=53
global_step=16424 | return=5.03 | steps=91 | track=89490e07cd578ac956fe96395dfc2013
global_step=16424 | return=-99.20 | steps=131 | track=a865324ade0742c62f450c74c6b1aff4
global_step=16488 | return=-108.30 | steps=131 | track=163b388fa177201c41613d478650fff9
global_step=16552 | return=-95.11 | steps=131 | track=b1a9d5fce8f96fe28585818ed537a5b0
global_step=16936 | return=44.57 | steps=63 | track=c4f3d568bfb7be103556dd28d91948f0
global_step=17040 | return=41.17 | steps=68 | track=5cc0e3795c5e013e47a5e39165f0fbf9
global_step=17200 | return=-93.15 | steps=131 | track=098480621d4efc9ee9918110a1a35e71
global_step=17224 | return=18.68 | steps=120 | track=8eac6c7dbf5ce40c63f19fe3583e391b
global_step=17616 | return=-101.01 | steps=132 | track=1fb960f30f26ed958bad18e4a66ad600
global_step=17648 | return=39.90 | steps=197 | track=c72c30e04d5b1e509089b890f6f9cb82
global_step=18032 | return=-93.44 | steps=100 | track=97b626f3fae9662f78d9b7da54d354fc
global_step=18096 | return=-74.49 | steps=131 | track=c5a79ddf2be6b4435b268f56001d64f9
global_step=18096 | return=-42.29 | steps=59 | track=2b4dea79aa7bb2b8d2b929a9a4c2651d
global_step=18248 | return=-82.29 | steps=130 | track=c73e6b3eeff0c427c3f6bf32e328ab5d
global_step=18416 | return=112.43 | steps=248 | track=97d62743da0e618d581e5611f6a1e118
global_step=18576 | return=43.66 | steps=204 | track=0fece0465a65e3e6392604d806515be8
global_step=18608 | return=59.47 | steps=71 | track=81d73ad22c5772eb90d3762c72cfc43f
global_step=18688 | return=-3.25 | steps=73 | track=94d586b8766802ba816a0a9ddb2ec844
global_step=18704 | return=-89.90 | steps=131 | track=df2ba4eedfa9d4117b721a5592ccc7d1
global_step=18904 | return=16.70 | steps=356 | track=716b5cb7fa5ae27fa1694d2d5dfae486
global_step=19136 | return=32.17 | steps=65 | track=197f5a3c722d2509f4bb948be0dde0f4
global_step=19152 | return=-86.40 | steps=131 | track=4e5134f7c7332527cc0255427b21632f
global_step=19296 | return=-97.77 | steps=130 | track=cc14dd93807d2dcc47f5db9b9e14e205
global_step=19352 | return=-52.82 | steps=55 | track=f1e072afbff69e8e9f07b4a48359f5be
global_step=19384 | return=-70.40 | steps=100 | track=334f987b66d9865cb9b81f9f1c1761c0
global_step=19472 | return=-89.04 | steps=131 | track=bf2fa9dbb709a49ac49ed837c9737df2
global_step=19504 | return=-55.20 | steps=45 | track=b6f1abd4429973723d835c4a27077102
global_step=19584 | return=-80.30 | steps=109 | track=e9f64fbb2e2393a71f31b16a472c2137
global_step=19864 | return=-64.48 | steps=146 | track=1a925c61286be43cd81033ed6ba66a3c
global_step=19904 | return=32.86 | steps=68 | track=25d0e417a96ae26b8871a65b2332735c
global_step=20048 | return=54.46 | steps=67 | track=11dbd8e485eea78f27afd558ff8a3c24
global_step=20200 | return=-95.64 | steps=130 | track=7b3404f87e3430bec81067962cf9883b
global_step=20352 | return=-94.31 | steps=131 | track=f04a913487949f99503e9428370bf374
global_step=20528 | return=-94.75 | steps=131 | track=c897f3b23517d011f4a018e510fe38e9
global_step=20640 | return=-103.67 | steps=131 | track=e6d4099b21bc936805f32b83115e2c4a
global_step=20920 | return=-96.04 | steps=131 | track=c780b0f902c102d2d942ed63506a5f84
global_step=20960 | return=-80.36 | steps=131 | track=050884c5acffcd4479f842e6844961fa
global_step=20976 | return=-40.22 | steps=96 | track=9a117bb1888836bf6276c4355459def9
global_step=21104 | return=-110.01 | steps=131 | track=8f5b9e8c3c1a896b6cbd661e0db0570f
global_step=21224 | return=15.96 | steps=72 | track=1360a4212d7a1c73d068f702ba60a077
global_step=21280 | return=-42.68 | steps=93 | track=de90623dbf831d978ae855d941984a6a
global_step=21312 | return=171.38 | steps=240 | track=655f3b86fa36775a27aef9e5f49bba7e
global_step=21432 | return=-68.71 | steps=134 | track=369b2621490aff5d8b5570d967c74cae
global_step=21520 | return=57.28 | steps=69 | track=1515f768833b237c12cd91bc90f4c93f
global_step=21704 | return=-45.31 | steps=74 | track=cc6852ff5324c645ecac386d7bb1105b
global_step=21920 | return=0.04 | steps=49 | track=4592af4672fc0bb351e5ba193f23dcf0
global_step=21976 | return=-101.90 | steps=131 | track=1bfae6c070b009989cf54dedb77a9109
global_step=22080 | return=-11.51 | steps=46 | track=355d3461bde41bf3074dec88a5613cb3
global_step=22096 | return=-17.08 | steps=139 | track=e69aa52017c181984ac339cbc7147415
global_step=22336 | return=-100.61 | steps=131 | track=0bf72e136a53ad79a3c5fa57f8fc64e9
global_step=22368 | return=-94.27 | steps=131 | track=c38287314e2a3352e1908e7c52448848
global_step=22432 | return=20.86 | steps=150 | track=bea2f6d28c5f3fbb19ccefce1c3aa56a
global_step=22464 | return=-21.91 | steps=45 | track=3220aa431aa7c38a2d33ef7e3c31cb7f
global_step=22480 | return=-96.25 | steps=130 | track=1257dbbb1a7d2a307e8843304a142e49
global_step=22792 | return=-37.26 | steps=44 | track=1acd290782df5ff9252650db0fa6d1df
global_step=22848 | return=-76.92 | steps=108 | track=4ad94743d3354d9f1088a68e973eaad6
global_step=22960 | return=-1.56 | steps=73 | track=ccf582227f48340837926a92062d06cf
global_step=22976 | return=-90.38 | steps=131 | track=0c7ca136bae2dfd5d4567ac3ba3c11d8
global_step=23120 | return=-31.39 | steps=40 | track=56928dd42a4bbcba7cf2ab4a80582393
global_step=23352 | return=-3.34 | steps=62 | track=32c54c08f59f035b215798c074548234
global_step=23384 | return=-96.98 | steps=130 | track=308cbcbc5ab36ff268c8ecb71fa110c1
global_step=23488 | return=15.43 | steps=63 | track=506e45c6223d71889bd1d8f17f1c4808
global_step=23520 | return=-86.78 | steps=131 | track=63bd292a6d72b412c33510a9400579d8
global_step=23528 | return=-83.53 | steps=130 | track=ce49bd5334a3534a348ff4bf67856c1f
global_step=23568 | return=21.78 | steps=55 | track=df6302a23fce056760f5c4a1f53e857d
global_step=23608 | return=-44.60 | steps=190 | track=62a3fad6367ba4d82782057571855451
global_step=24280 | return=-47.22 | steps=94 | track=487cf43d66e211b48ce391694528e800
global_step=24376 | return=-45.38 | steps=176 | track=bf4066dc7bec163b3c0d2b66bee0cd83
global_step=24440 | return=-103.51 | steps=131 | track=a90d6af87c4d3f486d05bcea458f6fbc
global_step=24544 | return=-93.90 | steps=131 | track=5202c1ef6cb8fb47e26a4d34bc2b7959
global_step=24576, SPS=52
global_step=24584 | return=-86.03 | steps=131 | track=d3257dbec4580b2f3d1f7def4eb0fd4e
global_step=24624 | return=-77.60 | steps=131 | track=8b99be0d1d4399212be3be441b219303
