/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_WO_Time_Pen_fc_2.1_bud_180_04-08-14-42-01/info_settings.txt
Device: cpu
Navigation model path: experiments/navigation/CarRacing-v3__train__1__1785768450/final.pt
Env: CarRacing_VarFramerate_WO_Time_Pen  Wrapper: AdaptiveFPS_TrackAware_Wrapper
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=11048 | return=-81.17 | steps=131 | track=204ba32b55ec9a11ade99b88977f1d0f
global_step=11336 | return=-92.39 | steps=131 | track=f7b6b9fbd8e616b299e2a6655cda45a5
global_step=11504 | return=-2.11 | steps=152 | track=a53d212efe3102475bef09ac95b442ef
global_step=11568 | return=26.54 | steps=64 | track=f1ed6959fd87fc1f53a657674814992b
global_step=11584 | return=11.53 | steps=77 | track=00586aa6dfbbeea51ae7b17cacf278fd
global_step=11840 | return=-98.20 | steps=131 | track=e3d5dafb667e285827848d2482d933c5
global_step=11864 | return=-102.01 | steps=131 | track=a6c685c4ec4d1228b33fa766f282ca5b
global_step=11992 | return=-88.60 | steps=130 | track=a3d53506e6818bff5bac2944e1bb645e
global_step=12032 | return=-35.64 | steps=171 | track=43bcb82a3ca174f63668c3187b8381e1
global_step=12296 | return=-65.54 | steps=88 | track=d5586d76f611104ccb65566cd579071d
global_step=12544 | return=-44.16 | steps=150 | track=0ba2657799fb66fff456c6d624bcd2d4
global_step=12624 | return=-91.28 | steps=131 | track=0cd22971413360efa4da8c434e68642b
global_step=12776 | return=-19.97 | steps=92 | track=d1bceb3c834a653815a26e4fe0ceb765
global_step=12896 | return=-86.95 | steps=131 | track=513c2dde9684744ea4b0eb6bcf082473
global_step=12912 | return=-68.48 | steps=130 | track=5ac552ef33a345254bbb8366619eb8b1
global_step=13048 | return=-79.80 | steps=131 | track=d775640d2b0bc55eb50444f785226ff4
global_step=13088 | return=17.77 | steps=67 | track=35708a202ecba480b5a6ea6e2f16ea71
global_step=13352 | return=-104.18 | steps=131 | track=27b3fb930327d759daf3277cced1ac4e
global_step=13360 | return=38.29 | steps=72 | track=4291bdbb1535ecf3da3fcc420823e8e6
global_step=13432 | return=27.28 | steps=66 | track=4caa79a7beb23194c558e575361c0fe5
global_step=13592 | return=28.73 | steps=67 | track=9bb41a1f2d8137ecee9e060f24b0a21b
global_step=13856 | return=-80.23 | steps=153 | track=e0ec1a48cb74f559ee30e39ba776597f
global_step=13968 | return=-79.60 | steps=131 | track=303b8c4669d4adb9dcc70fa8607ef10c
global_step=14072 | return=121.29 | steps=320 | track=5b8a3b3650e94116e979757de91314fe
global_step=14240 | return=-120.77 | steps=143 | track=27816136bda17a2fa97b6817d0c24831
global_step=14416 | return=-93.23 | steps=131 | track=0b3f35441aff25b802168fc97830c291
global_step=14592 | return=19.22 | steps=64 | track=96c6f3db53f011ef4257512eb6a230d7
global_step=14648 | return=-96.88 | steps=131 | track=da2665c27f75a8f13d53d2327b75d339
global_step=14744 | return=24.03 | steps=62 | track=f1d1227cac912623c1dc977ec1537abb
global_step=14912 | return=-86.84 | steps=131 | track=8e685c0a33ea29ac9f85598831f8f369
global_step=15192 | return=-92.39 | steps=219 | track=a1536e4bedfd2775ac9abbe421a06e9c
global_step=15200 | return=-11.97 | steps=153 | track=5d5ebfa35a40191ff1f11361ec8af4ed
global_step=15440 | return=11.37 | steps=260 | track=899afa886b1e888e5cc9d25629705fd1
global_step=15456 | return=-32.34 | steps=100 | track=6cfeae41994cd8a7280272ca1fff97b1
global_step=15472 | return=-81.23 | steps=131 | track=6a4cd08a26b69b7f8f502f10e689d091
global_step=15792 | return=-99.02 | steps=130 | track=954bee5271b51509de44a598a5ac734c
global_step=15856 | return=-37.27 | steps=157 | track=40f5c7b0906d255ec69406226b46c541
global_step=15992 | return=-77.84 | steps=98 | track=9bfe5f50b6081e9fc929de096d03e04d
global_step=16240 | return=-98.29 | steps=130 | track=ddd7f8ffe6c7dc3cb1c4f5f46a40c03a
global_step=16312 | return=-66.40 | steps=174 | track=c40d1eda6f28a34c33d7d3d08089ed6c
global_step=16352 | return=-2.52 | steps=61 | track=1969f966f3b67525820dc721b7754358
global_step=16384, SPS=39
global_step=16496 | return=-88.79 | steps=131 | track=98b2434ee5e02dd670de96eb5b9a3d25
global_step=16512 | return=-93.38 | steps=131 | track=077ea9b52d07472c0e734ff49f77c972
global_step=16720 | return=-57.52 | steps=59 | track=a9a4a0327bbaff9db184d02c79ea9871
global_step=16784 | return=17.10 | steps=58 | track=b24c243b0967c64f51c965c89150c1a6
global_step=16848 | return=-106.74 | steps=131 | track=6d21b8edfb32d34163e508c5106bd090
global_step=17160 | return=-38.68 | steps=145 | track=8fa6b950855b01c40ac98f70dfa0f170
global_step=17248 | return=45.06 | steps=65 | track=592f079832a747dc11f79868a6805cd2
global_step=17408 | return=-99.57 | steps=131 | track=55f77c46efd28253eb9a25a83609c013
global_step=17568 | return=-89.18 | steps=131 | track=cbe3fca2dc4d6ceceadc9596f910cbff
